,developer,name,platforms,publisher,release,reviewed,score
0,Polyarc,Moss,PS4,Polyarc,2018-02-27,2018-03-03,9
1,Dim Bulb Games,Where the Water Tastes Like Wine,"Linux, Mac, Win",Good Shepherd Entertainment,2018-02-28,2018-03-01,7.5
2,,Metal Gear Survive,"PS4, Win, Xbox One",Konami,2018-02-20,2018-03-01,5.5
3,Zoink Games,Fe,"Nintendo Switch, PS4, Win, Xbox One",Electronic Arts,2018-02-16,2018-02-16,8.5
4,Square Enix,Secret of Mana (2018),"PS Vita, PS4, Win",Square Enix,2018-02-15,2018-02-15,5.5
5,The Wandering Ben,A Case of Distrust,"Mac, Win",Serenity Forge,2018-02-09,2018-02-12,9
6,RageSquid,Descenders,"Linux, Mac, Win",No More Robots,2018-02-09,2018-02-09,7
7,Firaxis Games,Civilization 6: Rise and Fall,Win,2K Games,2018-02-08,2018-02-07,9
8,Arc System Works,Dragon Ball FighterZ,"PS4, Win, Xbox One",Bandai Namco,2018-01-26,2018-02-05,8.5
9,Atlus,Radiant Historia: Perfect Chronology,3DS,Atlus,2018-02-13,2018-02-05,8
10,Tokyo RPG Factory,Lost Sphear,"Nintendo Switch, PS4, Win",Square Enix,2018-01-23,2018-02-05,6
11,Electronic Arts,EA Sports UFC 3,"PS4, Xbox One",Electronic Arts,2018-02-02,2018-02-02,7.5
12,Team Ico,Shadow of the Colossus,"PS2, PS4, PSN",Sony Computer Entertainment,2005-10-18,2018-01-30,9.5
13,Capcom,Monster Hunter: World,"PS4, Win, Xbox One",Capcom,2018-01-26,2018-01-26,9
14,Matt Makes Games,Celeste,"Nintendo Switch, PS4, Win, Xbox One",Matt Makes Games,2018-01-25,2018-01-25,8
15,PUBG Corp.,PlayerUnknown's Battlegrounds,"Win, Xbox One",PUBG Corp.,2017-03-23,2017-12-20,10
16,Monolith Software,Xenoblade Chronicles 2,Nintendo Switch,Nintendo,2017-12-21,2017-11-30,7.5
17,TT Games,Lego Marvel Super Heroes 2,"Nintendo Switch, PS4, Win, Xbox One",Warner Bros. Interactive Entertainment,2017-11-14,2017-11-22,6
18,EA Digital Illusions CE,Star Wars Battlefront 2,"PS4, Win, Xbox One",Electronic Arts,2017-11-17,2017-11-20,7
19,Omega Force,Fire Emblem Warriors,"New Nintendo 3DS, Nintendo Switch",Nintendo,2017-11-21,2017-11-20,7.5
20,Trinket Studios,Battle Chef Brigade,"Nintendo Switch, Win",,2017-11-20,2017-11-20,7
21,Ghost Games,Need for Speed Payback,"PS4, Win, Xbox One",Electronic Arts,2017-11-10,2017-11-11,6.5
22,Sledgehammer Games,Call of Duty: WWII,"PS4, Win, Xbox One",Activision,2017-11-03,2017-11-06,7
23,Guerrilla Games,Horizon Zero Dawn: The Frozen Wilds,PS4,Sony Interactive Entertainment,2017-11-07,2017-11-06,8
24,Sonic Team,Sonic Forces,"Nintendo Switch, PS4, Win, Xbox One",Sega,2017-12-21,2017-11-05,5
25,Grumpyface Studios,Steven Universe: Save the Light,"PS4, Xbox One",Cartoon Network Games,,2017-10-31,5
26,Nintendo Entertainment Planning & Development,Super Mario Odyssey,Nintendo Switch,Nintendo,2017-10-27,2017-10-26,9.5
27,MachineGames,Wolfenstein 2: The New Colossus,"PS4, Win, Xbox One",Bethesda Softworks,2017-10-27,2017-10-26,9
28,Ubisoft Montreal,Assassin's Creed Origins,"PS4, Win, Xbox One",Ubisoft,2017-10-27,2017-10-26,8.5
29,TickTock Games,Rogue Trooper Redux,"Nintendo Switch, PS4, Win, Xbox One",Rebellion Developments,2017-10-17,2017-10-20,6.5
30,Tango Gameworks,The Evil Within 2,"PS4, Win, Xbox One",Bethesda Softworks,2017-10-13,2017-10-18,9
31,Bandai Namco,Gundam Versus,PS4,Bandai Namco,2017-11-21,2017-10-18,8
32,Atlus,Etrian Odyssey 5: Beyond the Myth,3DS,Atlus,2017-10-17,2017-10-17,8.5
33,Ubisoft San Francisco,South Park: The Fractured But Whole,"PS4, Win, Xbox One",Ubisoft,2017-10-17,2017-10-16,7
34,Larian Studios,Divinity: Original Sin 2,Win,Larian Studios,,2017-10-13,7
35,Lion Game Lion,Raid: World War II,"PS4, Win, Xbox One",Starbreeze Studios,2017-09-26,2017-10-10,3.5
36,AlphaDream,Mario & Luigi: Superstar Saga + Bowser's Minions,3DS,Nintendo,2017-10-06,2017-10-06,8
37,Monolith Productions,Middle-earth: Shadow of War,"PS4, Win, Xbox One",Warner Bros. Interactive Entertainment,2017-10-10,2017-10-05,7.5
38,Turn 10 Studios,Forza Motorsport 7,"Win, Xbox One",Microsoft Studios,2017-10-03,2017-10-04,8.5
39,Airship Syndicate,Battle Chasers: Nightwar,"Mac, PS4, Win, Xbox One",,,2017-10-02,8
40,Reikon Games,Ruiner,"Linux, Mac, PS4, Win, Xbox One",Devolver Digital,,2017-09-29,6
41,StudioMDHR Entertainment,Cuphead,"Win, Xbox One",StudioMDHR Entertainment,2017-09-29,2017-09-29,8.5
42,EA Vancouver,FIFA 18,"360, Nintendo Switch, PS3, PS4, Win, Xbox One",Electronic Arts,2017-09-29,2017-09-28,9
43,The Creative Assembly,Total War: Warhammer 2,Win,Sega,2017-09-28,2017-09-27,8
44,Firaxis Games,XCOM 2: War of the Chosen,"Linux, Mac, PS4, Win, Xbox One",2K Games,2017-08-29,2017-09-27,9.5
45,Nihon Falcom Corp.,Ys 8: Lacrimosa of Dana,"PS Vita, PS4",NIS America,2017-09-12,2017-09-26,9.5
46,Visual Concepts,NBA 2K18,"360, Nintendo Switch, PS3, PS4, Win, Xbox One",2K Sports,2017-09-19,2017-09-24,7
47,Suspicious Developments,Heat Signature,Win,Suspicious Developments,,2017-09-22,7.5
48,Bungie,Destiny 2,"PS4, Win, Xbox One",Activision,2017-09-06,2017-09-20,9
49,Spike Chunsoft,Danganronpa V3: Killing Harmony,"PS Vita, PS4, Win",NIS America,2017-09-26,2017-09-19,8
50,EA Tiburon,NBA Live 18,"PS4, Xbox One",Electronic Arts,2017-11-21,2017-09-18,7
51,Capcom,Marvel vs. Capcom: Infinite,"PS4, Win, Xbox One",Capcom,2017-09-19,2017-09-18,7.5
52,Arkane Studios,Dishonored: Death of the Outsider,"PS4, Win, Xbox One",Bethesda Softworks,2017-09-15,2017-09-15,8
53,"What Pumpkin Games, Inc.",Hiveswap,"Mac, Win","What Pumpkin Games, Inc.",2017-09-14,2017-09-14,8
54,EA Canada,NHL 18,"PS4, Xbox One",Electronic Arts,2017-09-15,2017-09-13,6.5
55,Monster Games,NASCAR Heat 2,"PS4, Win, Xbox One",704 Games,2017-09-12,2017-09-12,7.5
56,MercurySteam Entertainment,Metroid: Samus Returns,3DS,Nintendo,2017-09-15,2017-09-12,9
57,Ninja Theory Limited,Hellblade: Senua's Sacrifice,"PS4, Win",Ninja Theory Limited,2017-08-08,2017-09-06,8.5
58,Deck Nine Games,Life is Strange: Before the Storm,"PS4, Win, Xbox One",Square Enix,2017-08-31,2017-09-05,8
59,SIE Japan Studio,Knack 2,PS4,Sony Interactive Entertainment,,2017-09-05,7.5
60,Wizard Fu Games,Songbringer,"Linux, Mac, PS4, Win, Xbox One",Wizard Fu Games,2017-09-01,2017-08-31,6.5
61,Ovosonico,Last Day of June,"PS4, Win",505 Games,2017-08-31,2017-08-30,8.5
62,Sloclap,Absolver,"PS4, Win",Devolver Digital,2017-08-29,2017-08-29,8.5
63,Ubisoft,Mario + Rabbids Kingdom Battle,Nintendo Switch,Ubisoft,2017-08-29,2017-08-28,8
64,Codemasters Birmingham,F1 2017,"PS4, Win, Xbox One",Codemasters,2017-08-25,2017-08-25,8
65,Boss Key Productions,LawBreakers,Win,Nexon,1905-07-08,2017-08-24,6.5
66,Sega,Yakuza Kiwami,PS4,Sega,2017-08-29,2017-08-21,7
67,Bithell Games,Subsurface Circular,Win,Bithell Games,2017-08-17,2017-08-17,9
68,Naughty Dog,Uncharted: The Lost Legacy,PS4,Sony Interactive Entertainment,2017-08-22,2017-08-17,8.5
69,EA Tiburon,Madden NFL 18,"PS4, Xbox One",Electronic Arts,2017-08-25,2017-08-17,8
70,Valve,Dota 2,"Linux, Mac, Win",Valve,2013-07-09,2017-08-15,8.5
71,Volition,Agents of Mayhem,"PS4, Win, Xbox One",Deep Silver,2017-08-15,2017-08-15,5.5
72,Sega,Sonic Mania,"Nintendo Switch, PS4, Win, Xbox One",Sega,2017-06-21,2017-08-14,7
73,Telltale Games,Batman: The Enemy Within,"Android, PS4, Win, Xbox One, iOS",Telltale Games,2017-08-08,2017-08-11,8
74,Game Grumps,Dream Daddy,"Mac, Win",Game Grumps,2017-07-20,2017-08-10,8
75,Asymmetric,West of Loathing,"Linux, Mac, Win, iOS",Asymmetric,2017-08-10,2017-08-10,9
76,Epic Games,Fortnite,"PS4, Win, Xbox One",Epic Games,1905-07-05,2017-08-03,7.5
77,Fullbright,Tacoma,"Mac, Win, Xbox One",Fullbright,2017-08-02,2017-08-01,7
78,Nintendo Entertainment Planning & Development,Miitopia,3DS,Nintendo,2017-07-28,2017-07-27,8
79,Arzest Corporation,Hey! Pikmin,3DS,Nintendo,2016-07-28,2017-07-26,7
80,Mothership Entertainment LLC,Aven Colony,"PS4, Win, Xbox One",Team17,2017-07-25,2017-07-25,5
81,Supergiant Games,Pyre,"Linux, PS4, Win",Supergiant Games,2017-07-25,2017-07-24,9
82,Andrew Morrish,Kingsway,Win,Adult Swim Games,2017-07-18,2017-07-24,8
83,Motiga,Gigantic,"Win, Xbox One",,,2017-07-21,8
84,Nintendo Entertainment Planning & Development,Splatoon 2,Nintendo Switch,Nintendo,2017-06-21,2017-07-18,8
85,Prideful Sloth,Yonder: The Cloud Catcher Chronicles,"PS4, Win",,2017-07-18,2017-07-17,7
86,Square Enix,Final Fantasy 12: The Zodiac Age,PS4,Square Enix,,2017-07-10,8.5
87,Vicarious Visions,Crash Bandicoot N. Sane Trilogy,PS4,Activision,2017-06-30,2017-06-30,6
88,Grezzo,Ever Oasis,3DS,Nintendo,2017-06-01,2017-06-29,5.5
89,Media Vision,Valkyria Revolution,"PS Vita, PS4, Xbox One",Sega,,2017-06-27,4.5
90,Bandai Namco,Tekken 7,"PS4, Win, Xbox One",Bandai Namco,,2017-06-20,8
91,Codemasters,DIRT 4,"PS4, Win, Xbox One",Codemasters,2017-06-06,2017-06-09,9
92,Ustwo,Monument Valley 2,iOS,Ustwo,2017-06-05,2017-06-08,8
93,Telltale Games,The Walking Dead: The Telltale Series - A New Frontier,"Android, Mac, PS4, Win, Xbox One, iOS",Telltale Games,2016-12-19,2016-12-20,5
94,Nintendo Entertainment Planning & Development,Arms,Nintendo Switch,Nintendo,2017-06-16,2017-06-07,8
95,Zoetrope Interactive,Conarium,Win,Iceberg Interactive,2017-06-06,2017-06-06,7.5
96,Illfonic,Friday the 13th: The Game,"PS4, Win, Xbox One",Gun Media,2017-05-26,2017-06-05,4
97,"Act 3 Games, LLC",The Fidelio Incident,Win,,2017-05-23,2017-06-02,6.5
98,Daedalic Entertainment,The Long Journey Home,Win,Daedalic Entertainment,2017-05-30,2017-05-29,5.5
99,Omega Force,Samurai Warriors: Spirit of Sanada,"PS4, Win",Koei Tecmo America,2017-05-23,2017-05-26,8
100,Capcom,Ultra Street Fighter 2: The Final Challengers,Nintendo Switch,Capcom,2017-05-26,2017-05-25,6
101,The Deep End Games,Perception,"PS4, Win, Xbox One",Feardemic,2017-05-30,2017-05-25,6.5
102,Tequila Works,Rime,"Nintendo Switch, PS4, Win, Xbox One",Grey Box,2017-05-26,2017-05-25,6.5
103,Big Star Games,Reservoir Dogs: Bloody Days,"Win, Xbox One",Lionsgate,2017-05-18,2017-05-23,5
104,Motion Twin,Dead Cells,Win,Motion Twin,2017-05-10,2017-05-19,9
105,Broken Rules,Old Man's Journey,"Android, Mac, Win, iOS",Broken Rules,2017-05-18,2017-05-18,8
106,Intelligent Systems,Fire Emblem Echoes: Shadows of Valentia,3DS,Nintendo,2017-05-19,2017-05-18,6.5
107,NetherRealm Studios,Injustice 2,"PS4, Xbox One",Warner Bros. Interactive Entertainment,1905-07-09,2017-05-17,9
108,Impulse Gear,Farpoint,PS4,Sony Interactive Entertainment,2017-05-16,2017-05-16,7.5
109,Deck13 Interactive,The Surge,"PS4, Win, Xbox One",Focus Home Interactive,2017-05-15,2017-05-15,8
110,Saber Interactive,NBA Playgrounds,"Nintendo Switch, PS4, Win, Xbox One",Mad Dog Games,2017-05-09,2017-05-14,4.5
111,Laura Shigihara,Rakuen,"Linux, Mac, Win",Laura Shigihara,2017-05-10,2017-05-12,9.5
112,Arkane Studios,Prey (2017),"PS4, Win, Xbox One",Bethesda Softworks,1905-07-09,2017-05-10,8.5
113,Toybox,Birthdays the Beginning,"PS4, Win",NIS America,1905-07-09,2017-05-10,6
114,Greg Wohlwend,TumbleSeed,"Mac, Nintendo Switch, PS4, Win",aeiowu,2017-05-02,2017-05-04,6
115,Omega Force,Dragon Quest Heroes 2,PS4,Square Enix,2016-04-25,2017-05-01,6.5
116,Double Fine Productions,Full Throttle Remastered,"PS4, Win",Double Fine Productions,2017-04-18,2017-04-26,7.5
117,Twisted Pixel Games,Wilson's Heart,Win,Oculus VR,,2017-04-25,8.5
118,Red Barrels Games,Outlast 2,"Mac, PS4, Win, Xbox One",Red Barrels Games,2017-04-25,2017-04-24,7.5
119,Giant Sparrow,What Remains of Edith Finch,"PS4, Win",Annapurna Interactive,2017-04-25,2017-04-24,9
120,Telltale Games,Marvel's Guardians of the Galaxy: The Telltale Series,"Android, PS4, Win, Xbox One, iOS",Telltale Games,2017-04-18,2017-04-21,8
121,Tarsier Studios,Little Nightmares,"PS4, Win, Xbox One",Bandai Namco,2017-04-28,2017-04-21,8.5
122,Relic Entertainment,"Warhammer 40,000: Dawn of War 3",Win,Sega,1905-07-09,2017-04-20,8
123,The Bartlet Jones Supernatural Detective Agency,Drawn to Death,PS4,Sony Interactive Entertainment,2017-04-04,2017-04-19,5
124,PaperSeven LTD,Blackwood Crossing,"PS4, Win, Xbox One",Vision Games Publishing LTD,2017-04-05,2017-04-05,8.5
125,Playtonic Games,Yooka-Laylee,"Linux, Mac, Nintendo Switch, PS4, Win, Xbox One",Playtonic Games,2017-04-11,2017-04-04,5.5
126,Terrible Toybox,Thimbleweed Park,"Android, Linux, Mac, Win, iOS",Terrible Toybox,2017-03-30,2017-03-30,8
127,SIE San Diego Studio,MLB The Show 17,PS4,Sony Interactive Entertainment,2017-03-28,2017-03-29,8
128,Atlus,Persona 5,"PS3, PS4",Atlus,2017-04-04,2017-03-29,9
129,Videocult,Rain World,"PS4, Win",Adult Swim Games,2017-03-28,2017-03-27,5
130,David OReilly,Everything,"Mac, PS4, Win",Double Fine Productions,2017-03-21,2017-03-21,9
131,BioWare Montreal,Mass Effect: Andromeda,"PS4, Win, Xbox One",Electronic Arts,2017-03-21,2017-03-20,7.5
132,Ubisoft Paris,Tom Clancy's Ghost Recon Wildlands,"PS4, Win, Xbox One",Ubisoft,2017-03-07,2017-03-15,6
133,InXile Entertainment,Torment: Tides of Numenera,"Linux, Mac, PS4, Win, Xbox One",InXile Entertainment,,2017-03-09,8
134,PlatinumGames,Nier: Automata,PS4,Square Enix,2017-03-07,2017-03-06,8
135,Infinite Fall,Night in the Woods,"Linux, Mac, PS4, Win",Finji,,2017-03-03,7.5
136,Nintendo Entertainment Planning & Development,The Legend of Zelda: Breath of the Wild,"Nintendo Switch, Wii U",Nintendo,2017-03-03,2017-03-02,10
137,Ubisoft Montreal,For Honor,"PS4, Win, Xbox One",Ubisoft,2017-02-14,2017-02-22,8
138,Guerrilla Games,Horizon Zero Dawn,PS4,Sony Interactive Entertainment,2017-02-28,2017-02-20,9.5
139,Rebellion Developments,Sniper Elite 4,"PS4, Win, Xbox One",Rebellion Developments,2017-02-14,2017-02-18,6.5
140,Intelligent Systems,Fire Emblem Heroes,"Android, iOS",Nintendo,2017-02-02,2017-02-17,8
141,The Creative Assembly,Halo Wars 2,"Win, Xbox One",Microsoft Studios,2017-02-21,2017-02-16,8
142,Culture Shock Games,We Are Chicago,"Linux, Mac, Win",Culture Shock Games,2017-02-09,2017-02-10,7
143,Team Ninja,Nioh,"PS4, Win",Tecmo Koei Games,2017-02-07,2017-02-08,8
144,Capcom,Resident Evil 7 biohazard,"PS4, Win, Xbox One",Capcom,2017-01-24,2017-01-23,9
145,Sega,Yakuza 0,PS4,Sega,2017-01-24,2017-01-19,8
146,SIE Japan Studio,Gravity Rush 2,PS4,Sony Interactive Entertainment,2017-01-20,2017-01-10,7.5
147,Twinbeard Studios,Frog Fractions 2,Win,Adult Swim Games,2016-12-24,2016-12-27,7.5
148,Mimimi Productions,Shadow Tactics: Blades of the Shogun,"Mac, Win",Daedalic Entertainment,2016-12-06,2016-12-16,8.5
149,Nintendo,Super Mario Run,"Android, iOS",Nintendo,2016-12-15,2016-12-15,7
150,Ubisoft Montreal,Watch Dogs 2,"PS4, Win, Xbox One",Ubisoft,2016-11-15,2016-11-14,8
151,Telltale Games,Batman: The Telltale Series,"360, Android, Mac, PS3, PS4, Win, Xbox One, iOS",Telltale Games,2016-08-01,2016-08-02,8.5
152,Ubisoft Annecy,Steep,"PS4, Win, Xbox One",Ubisoft,,2016-12-12,8
153,GenDesign,The Last Guardian,PS4,Sony Interactive Entertainment,2016-12-06,2016-12-05,7.5
154,Capcom Vancouver,Dead Rising 4,"PS4, Win, Xbox One",Microsoft Studios,2016-12-06,2016-12-05,8
155,Obsidian Entertainment,Tyranny,Win,Paradox Interactive,1905-07-08,2016-12-01,7.5
156,Osmotic Studios,Orwell,Win,Surprise Attack Games,2016-10-27,2016-11-29,9
157,Square Enix Product Development Division 1,Final Fantasy 15,"PS4, Xbox One",Square Enix,2016-11-29,2016-11-28,9
158,IO Interactive,Hitman,"PS4, Win, Xbox One",Square Enix,2016-03-11,2016-03-10,8.5
159,Arkane Studios,Dishonored 2,"PS4, Win, Xbox One",Bethesda Softworks,2016-11-11,2016-11-16,8.5
160,Infinity Ward,Call of Duty: Infinite Warfare,"PS4, Win, Xbox One",Activision,2016-11-04,2016-11-04,8.5
161,Game Freak,Pokémon Sun/Pokémon Moon,3DS,The Pokemon Company,2016-12-21,2016-11-15,8.5
162,Respawn Entertainment,Titanfall 2,"PS4, Win, Xbox One",Electronic Arts,2016-10-28,2016-10-24,7
163,D-Pad Studio,Owlboy,Win,,,2016-11-01,8
164,Blizzard Entertainment,World of Warcraft: Legion,Win,Activision Blizzard,,2016-10-28,9.5
165,EA Digital Illusions CE,Battlefield 1,"PS4, Win, Xbox One",Electronic Arts,2016-10-21,2016-10-17,9
166,FromSoftware,Dark Souls 3: Ashes of Ariandel,"PS4, Win, Xbox One",Bandai Namco,,2016-10-25,8
167,Firaxis Games,Sid Meier's Civilization 6,"Linux, Mac, Win",2K Games,2016-10-21,2016-10-25,8.5
168,Square Enix,World of Final Fantasy,"PS Vita, PS4",Square Enix,2016-10-25,2016-10-25,7
169,The Coalition,Gears of War 4,Xbox One,Microsoft Studios,2016-12-21,2016-10-06,9
170,Benjamin Rivers,Alone With You,"PS Vita, PS4",,,2016-09-05,6
171,Love Conquers All Games,Ladykiller in a Bind,"Linux, Mac, Win",Love Conquers All Games,2016-10-10,2016-10-20,7
172,Flying Wild Hog,Shadow Warrior 2,Win,Devolver Digital,2016-10-13,2016-10-19,5
173,Minor Key Games,Slayer Shock,Win,,2016-09-29,2016-10-18,5.5
174,Square Enix,Dragon Quest Builders,"PS Vita, PS3, PS4",Square Enix,,2016-10-17,8.5
175,Nintendo,Paper Mario: Color Splash,Wii U,Nintendo,2016-10-07,2016-10-14,6.5
176,Hangar 13,Mafia 3,"PS4, Win, Xbox One",2K Games,2016-10-07,2016-10-14,6
177,Square Enix,Dragon Quest 7: Fragments of the Forgotten Past,3DS,Square Enix,2016-09-16,2016-10-05,8
178,,Yo-kai Watch 2: Bony Spirits/Fleshy Souls,,,,2016-10-05,7.5
179,Bungie,Destiny: Rise of Iron,"PS4, Xbox One",Activision,2016-09-20,2016-09-30,7.5
180,EA Vancouver,FIFA 17,"360, PS3, PS4, Win, Xbox One",Electronic Arts,2016-09-27,2016-09-28,9
181,EA Vancouver,NHL 17,"PS4, Xbox One",Electronic Arts,2016-09-13,2016-09-23,7.5
182,Monster Games,NASCAR Heat Evolution,"PS4, Xbox One",Dusenberry Martin Racing,2016-09-13,2016-09-22,7.5
183,Variable State,Virginia,"PS4, Win, Xbox One",,,2016-09-22,9
184,Atlus,Shin Megami Tensei 4: Apocalypse,3DS,Atlus,2016-09-20,2016-09-21,7.5
185,Visual Concepts,NBA 2K17,"360, PS3, PS4, Win, Xbox One",2K Sports,2016-09-20,2016-09-20,8
186,Playground Games,Forza Horizon 3,"Win, Xbox One",Microsoft Studios,2016-09-27,2016-09-20,8.5
187,Armature Studio,ReCore,"Win, Xbox One",Microsoft Studios,2016-09-13,2016-09-12,6.5
188,,Phoenix Wright: Ace Attorney - Spirit of Justice,,,,2016-09-09,7.5
189,Eidos Montreal,Deus Ex: Mankind Divided,"PS4, Win, Xbox One",Square Enix,2016-08-23,2016-08-19,8.5
190,Next Level Games,Metroid Prime: Federation Force,3DS,Nintendo,,2016-08-26,5
191,Cyan Worlds,Obduction,"Mac, Win",Cyan Worlds,2016-08-24,2016-08-25,8.5
192,EA Tiburon,Madden NFL 17,"360, PS3, PS4, Xbox One",EA Sports,2016-08-23,2016-08-22,9
193,Plastic Studios,Bound,PS4,Plastic Studios,,2016-08-15,7.5
194,Hello Games,No Man's Sky,"PS4, Win",Hello Games,2016-08-09,2016-08-12,6
195,Giant Squid,Abzu,"PS4, Win",505 Games,2016-08-02,2016-08-02,7.5
196,Double Fine Productions,Headlander,"PS4, Win",Adult Swim Games,2016-07-26,2016-07-25,8
197,Blendo Games,Quadrilateral Cowboy,Win,Blendo Games,1905-07-05,2016-07-25,8
198,Square Enix,I Am Setsuna,"PS4, Win",Square Enix,2016-07-19,2016-07-19,8.5
199,Paradox Development Studio,Hearts of Iron 4,"Linux, Mac, Win",Paradox Interactive,,2016-07-19,8
200,Niantic Labs,Pokémon Go,"Android, iOS",The Pokemon Company,,2016-07-14,7.5
201,,Ghostbusters (2016),"PS4, Win, Xbox One",Activision,2016-07-12,2016-07-12,2
202,Action Button Entertainment,Videoball,"Linux, Mac, PS4, Win, Xbox One",Iron Galaxy Studios,2016-07-12,2016-07-12,9
203,Harebrained Schemes,Necropolis,"PS4, Win, Xbox One",Bandai Namco,2016-07-12,2016-07-12,5.5
204,Capcom,Monster Hunter Generations,3DS,Capcom,,2016-07-12,8.5
205,Insomniac Games,Song of the Deep,"PS4, Win, Xbox One",GameStop,2016-07-12,2016-07-08,7
206,Spike Chunsoft,Zero Escape: Zero Time Dilemma,"3DS, PS Vita, Win",Aksys Games,2016-06-28,2016-06-29,8
207,Playdead,Inside,"PS4, Win, Xbox One",Playdead,2016-06-29,2016-06-28,9.5
208,tri-Ace,Star Ocean: Integrity and Faithlessness,"PS3, PS4",Square Enix,1905-07-08,2016-06-28,5
209,EA Digital Illusions CE,Mirror's Edge Catalyst,"PS4, Win, Xbox One",Electronic Arts,2016-06-07,2016-06-06,8
210,Capcom,Umbrella Corps,"PS4, Win",Capcom,,2016-06-23,3
211,Comcept USA,Mighty No. 9,"360, 3DS, PS Vita, PS3, PS4, Wii U, Win, Xbox One",Deep Silver,2016-06-21,2016-06-22,5
212,,Breached,Win,,2016-06-22,2016-06-22,6.5
213,Atlus,Tokyo Mirage Sessions #FE,Wii U,Nintendo,2016-06-24,2016-06-22,9.5
214,Misfits Attic,Duskers,Win,Misfits Attic,2016-05-18,2016-06-11,9
215,HAL Laboratory,Kirby: Planet Robobot,3DS,Nintendo,2016-06-10,2016-06-10,8
216,Three Fields Entertainment,Dangerous Golf,"PS4, Win, Xbox One",Three Fields Entertainment,2016-06-03,2016-06-07,7
217,,Edge of Nowhere,,,,2016-06-06,7.5
218,Blizzard Entertainment,Overwatch,"PS4, Win, Xbox One",Blizzard Entertainment,2016-05-24,2016-05-27,8
219,PlatinumGames,Teenage Mutant Ninja Turtles: Mutants In Manhattan,"360, PS3, PS4, Win, Xbox One",Activision,2016-05-24,2016-05-26,3
220,Paradox Development Studio,Stellaris,"Mac, Win",Paradox Interactive,2016-05-09,2016-05-20,7.5
221,id Software,Doom (2016),"Nintendo Switch, PS4, Win, Xbox One",Bethesda Softworks,2016-05-13,2016-05-18,8.5
222,Dambuster Studios,Homefront: The Revolution,"Linux, Mac, PS4, Win, Xbox One",Deep Silver,1905-07-08,2016-05-17,6
223,Heavy Spectrum,Shadow of the Beast (2016),PS4,Sony Interactive Entertainment,2016-05-17,2016-05-16,3
224,Gearbox Software,Battleborn,"PS4, Win, Xbox One",2K Games,2016-05-03,2016-05-13,7.5
225,Clifftop Games,Kathy Rain,"Mac, Win",Raw Fury Games,2016-05-05,2016-05-10,6.5
226,,The Banner Saga 2,,,,2016-05-06,8
227,House House,Push Me Pull You,"Linux, Mac, PS4, Win",,,2016-05-05,8.5
228,Naughty Dog,Uncharted 4: A Thief's End,PS4,Sony Interactive Entertainment,2016-05-10,2016-05-05,9
229,DrinkBox Studios,Severed,"3DS, PS Vita, Wii U",DrinkBox Studios,2016-04-26,2016-04-26,9
230,Silicon Studio,Bravely Second: End Layer,3DS,Square Enix,2015-04-23,2016-04-25,7
231,Double Fine Productions,Day of the Tentacle Remastered,"Mac, PS Vita, PS4, Win",Double Fine Productions,2016-03-22,2016-04-22,7
232,Insomniac Games,Ratchet and Clank (2016),PS4,Sony Interactive Entertainment,2016-04-12,2016-04-12,8
233,Heart Machine,Hyper Light Drifter,"Linux, Mac, Win",,,2016-04-06,8.5
234,SCE San Diego Studio,MLB The Show 16,"PS3, PS4",Sony Computer Entertainment,2016-03-29,2016-04-06,8
235,FromSoftware,Dark Souls 3,"PS4, Win, Xbox One",Bandai Namco,2016-04-11,2016-04-04,7
236,Remedy Entertainment,Quantum Break,Xbox One,Microsoft Studios,2015-05-01,2016-04-01,8.5
237,Marvelous Interactive,Return to PopoloCrois: A Story of Seasons Fairytale,3DS,Xseed Games,2016-03-01,2016-03-31,6.5
238,Three One Zero,Adrift,Win,505 Games,2016-03-28,2016-03-31,6.5
239,ConcernedApe,Stardew Valley,"Nintendo Switch, PS4, Win, Xbox One",Chucklefish Games,2016-02-26,2016-03-29,9
240,EA Tiburon,Rory McIlroy PGA Tour,"PS4, Xbox One",EA Sports,2015-07-14,2015-07-18,7.5
241,Firaxis Games,XCOM 2,"Linux, Mac, PS4, Win, Xbox One",2K Games,2016-02-05,2016-02-01,8
242,Ska Studios,Salt and Sanctuary,"Linux, Mac, PS Vita, PS4, Win",Ska Studios,2016-03-15,2016-03-22,9
243,Massive Entertainment,Tom Clancy's The Division,"PS4, Win, Xbox One",Ubisoft,2016-03-08,2016-03-15,7
244,EA Canada,EA Sports UFC 2,"PS4, Xbox One",EA Sports,2016-03-15,2016-03-11,8
245,Media Vision,Digimon Story: Cyber Sleuth,"PS Vita, PS4",Bandai Namco,2016-02-02,2016-03-04,7.5
246,,The Legend of Zelda: Twilight Princess HD,Wii U,Nintendo,2016-03-04,2016-03-01,8
247,Superhot Team,Superhot,"Linux, Mac, Web, Win, Xbox One",Superhot Team,2016-02-25,2016-02-25,9
248,Red Hook Studios,Darkest Dungeon,"Mac, Win",Red Hook Studios,2016-01-19,2016-02-24,8
249,Capcom,Street Fighter 5,"PS4, Win",Capcom,2016-02-16,2016-02-23,6.5
250,Ubisoft Montreal,Far Cry Primal,"PS4, Win, Xbox One",Ubisoft,2016-03-01,2016-02-22,8.5
251,EA Canada,Plants vs. Zombies: Garden Warfare 2,"PS4, Win, Xbox One",Electronic Arts,2016-02-23,2016-02-18,8
