,developer,name,platforms,publisher,release,reviewed,score
599,Rockstar North,Grand Theft Auto 5,"360, PS3, PS4, Win, Xbox One",Rockstar Games,2013-09-17,2013-09-16,9.5
600,PlatinumGames,The Wonderful 101,Wii U,Nintendo,2013-09-15,2013-09-10,6
601,The Chinese Room,Amnesia: A Machine for Pigs,"Linux, Mac, Win",Frictional Games,2013-09-10,2013-09-09,8
602,Daedalic Entertainment,Memoria,"Mac, Win",Daedalic Entertainment,2013-08-30,2013-09-05,8
603,Red Fly Studio,Teenage Mutant Ninja Turtles: Out of the Shadows,"PSN, Win, XBLA",Activision,2013-08-28,2013-09-04,1
604,Guerrilla Cambridge,Killzone: Mercenary,PS Vita,Sony Computer Entertainment,2013-09-10,2013-09-04,6
605,Red Barrels Games,Outlast,"PS4, Win, Xbox One",Red Barrels Games,2013-09-03,2013-09-04,7.5
606,Sega Studios Australia,Castle of Illusion Starring Mickey Mouse,"360, PS3, Sega Game Gear, Sega Genesis, Win, iOS",Sega,2013-09-03,2013-09-03,7
607,Spark Unlimited,Lost Planet 3,"360, PS3, Win",Capcom,2013-08-27,2013-08-27,7
608,Grasshopper Manufacture,Killer is Dead,"360, PS3, Win",Xseed Games,2013-06-21,2013-08-27,4.5
609,Ubisoft Montpellier,Rayman Legends,"360, PS Vita, PS3, PS4, Wii U, Win, Xbox One",Ubisoft,2013-09-03,2013-08-26,8.5
610,EA Tiburon,Madden NFL 25,"360, PS3, PS4, Xbox One",EA Sports,2013-08-27,2013-08-23,8.5
611,VectorCell,Flashback,"360, PS3, Win",Ubisoft,2013-08-21,2013-08-21,5
612,2K Marin,The Bureau: XCOM Declassified,"360, Mac, PS3, Win",2K Games,2013-08-20,2013-08-19,7
613,Avalanche Software,Disney Infinity,"360, 3DS, PS3, Wii, Wii U, Win",Disney Interactive,2013-06-01,2013-08-18,8
614,Overkill Software,Payday 2,"360, PS3, Win",505 Games,2013-08-13,2013-08-16,7.5
615,Ska Studios,Charlie Murder,360,Microsoft Studios,2013-06-21,2013-08-16,7.5
616,The Fullbright Company,Gone Home,"Linux, Mac, Win",The Fullbright Company,2013-08-15,2013-08-15,10
617,Volition,Saints Row 4,"360, PS3, Win",Deep Silver,2013-08-20,2013-08-14,9
618,Ubisoft Toronto,Tom Clancy's Splinter Cell: Blacklist,"360, PS3, Wii U, Win",Ubisoft,2013-08-20,2013-08-14,8.5
619,WayForward Technologies,DuckTales Remastered,"360, PS3, Wii U, Win",Capcom,2013-06-21,2013-08-12,5
620,Lucas Pope,"Papers, Please","Mac, Win",,2013-08-08,2013-08-09,8
621,AlphaDream,Mario & Luigi: Dream Team,3DS,Nintendo,2013-08-11,2013-08-07,8
622,Starbreeze Studios,Brothers: A Tale of Two Sons,"360, PS3, Win",505 Games,2013-09-03,2013-08-06,9
623,Level-5,Attack of the Friday Monsters! A Tokyo Tale,3DS,Level-5,,2013-08-01,8
624,Nintendo Entertainment Analysis and Development,Pikmin 3,Wii U,Nintendo,2013-08-04,2013-07-31,8
625,Vanillaware,Dragon's Crown,"PS Vita, PS3",Atlus,2013-08-06,2013-07-31,6.5
626,Harebrained Schemes,Shadowrun Returns,"Android, Linux, Mac, Win, iOS",Harebrained Schemes,2013-07-25,2013-07-25,7
627,N-Fusion Interactive,Deus Ex: The Fall,"Android, Win, iOS",Square Enix,2013-06-21,2013-07-22,7.5
628,imageepoch,Time and Eternity,PS3,NIS America,2013-07-16,2013-07-19,3
629,Cryptic Studios,Neverwinter,Win,Perfect World Entertainment,2013-06-20,2013-07-16,8
630,Dennaton Games,Hotline Miami,"Linux, Mac, PS Vita, PS3, PS4, Win",Devolver Digital,2012-10-23,2012-10-25,8.5
631,Realmforge Studios,Dark,"360, Win",Kalypso Media,2013-07-04,2013-07-15,3
632,EA Tiburon,NCAA Fooll 14,"360, PS3",EA Sports,2013-07-09,2013-07-12,8
633,Relic Entertainment,Company of Heroes 2,Win,Sega,2013-06-25,2013-07-11,7
634,Atlus,Shin Megami Tensei 4,3DS,Atlus,2013-06-21,2013-07-11,8
635,Nintendo EAD Group No. 4,New Super Luigi U,"Wii U, Wii U eShop",Nintendo,2013-06-20,2013-06-25,7
636,Facepalm Games,The Swapper,"PS Vita, PS3, PS4, Win",Facepalm Games,2013-05-30,2013-06-25,9
637,High Moon Studios,Deadpool,"360, PS3, Win",Activision,2013-06-25,2013-06-25,7
638,Neocore Games,The Incredible Adventures of Van Helsing,"Win, XBLA",Neocore Games,2013-05-22,2013-06-19,6
639,Zen Studios,CastleStorm,"360, PS Vita, PS3, Wii U, Win",Microsoft Studios,2013-05-29,2013-06-19,7.5
640,Suspicious Developments,Gunpoint,"Linux, Mac, Win",Suspicious Developments,2013-06-03,2013-06-18,9
641,ACE Team,Zeno Clash 2,"360, PS3, Win",Atlus,2013-04-30,2013-06-07,6
642,Naughty Dog,The Last of Us,"PS3, PS4",Sony Computer Entertainment,2013-06-14,2013-06-05,8
643,Nintendo Entertainment Analysis and Development,Animal Crossing: New Leaf,3DS,Nintendo,2013-06-09,2013-06-04,9
644,Dontnod Entertainment,Remember Me,"360, PS3, Win",Capcom,2013-06-04,2013-06-03,8
645,Techland,Call of Juarez: Gunslinger,"360, PSN, Win",Ubisoft,2013-05-22,2013-05-29,9
