,genres,name,platform,score
1128,Adventure,Fahrenheit: Indigo Prophecy Remastered,PC,6.2
1129,Adventure,Fahrenheit: Indigo Prophecy Remastered,iPhone,6.2
1130,Strategy,Total War: Attila,PC,8.1
1131,Shooter,Evolve,PC,9.0
1132,Shooter,Evolve,PlayStation 4,9.0
1133,Shooter,Evolve,Xbox One,9.0
1134,Action,Monster Hunter 4 Ultimate,Nintendo 3DS,9.0
1135,Platformer,Grow Home,PC,8.8
1136,Other,Gravity Ghost,PC,7.4
1137,"Action, RPG",Apotheon,PC,6.9
1138,Action,Chaos Heroes Online,PC,5.6
1139,Adventure,The Legend of Zelda: Majora's Mask 3D,Nintendo 3DS,8.7
1140,Action,Raven's Cry,PC,3.0
1141,Adventure,Game of Thrones: Episode 2 -- The Lost Lords,PC,7.0
1142,Adventure,Life is Strange -- Episode 1: Chrysalis,PC,6.5
1143,Adventure,Supreme League of Patriots,PC,5.7
1144,Strategy,The Witcher Battle Arena,iPhone,4.5
1145,Adventure,Grim Fandango Remastered,PlayStation Vita,9.3
1146,Adventure,Grim Fandango Remastered,PlayStation 4,9.3
1147,Adventure,Grim Fandango Remastered,PC,9.3
1148,Strategy,Grey Goo,PC,7.6
1149,RPG,Citizens of Earth,PC,6.5
1150,RPG,Citizens of Earth,PlayStation 4,6.5
1151,Action,Saints Row IV: Gat Out of Hell,PC,7.0
1152,Action,Resident Evil,PC,8.0
1153,Action,Resident Evil,PlayStation 3,8.0
1154,Action,Resident Evil,Xbox One,8.0
1155,Action,Resident Evil,Xbox 360,8.0
1156,Action,Resident Evil,PlayStation 4,8.0
1157,Action,Saints Row IV: Re-Elected & Gat Out of Hell,PlayStation 4,7.8
1158,Action,Saints Row IV: Re-Elected & Gat Out of Hell,Xbox One,7.8
1159,RPG,Blackguards 2,PC,7.8
1160,Party,#IDARB,Xbox One,7.5
1161,"Action, Adventure",Assassin's Creed Unity -- Dead Kings,Xbox One,7.8
1162,Platformer,Funk of Titans,Xbox One,4.0
1163,Action,Sunset Overdrive -- Mystery of the Mooil Rig,Xbox One,8.0
1164,Strategy,Craft the World,PC,6.2
1165,Sports,Super Mega Baseball,PlayStation 4,8.1
1166,Sports,Super Mega Baseball,PlayStation 3,8.1
1167,Shooter,Loadout,PlayStation 4,6.4
1168,Adventure,The Walking Dead: A Telltale Game Series -- Season Two,PlayStation 3,8.0
1169,Adventure,The Walking Dead: A Telltale Game Series -- Season Two,Xbox 360,8.0
1170,Adventure,The Walking Dead: A Telltale Game Series -- Season Two,Xbox One,8.0
1171,Adventure,The Walking Dead: A Telltale Game Series -- Season Two,PlayStation 4,8.0
1172,Adventure,The Walking Dead: A Telltale Game Series -- Season Two,PlayStation Vita,8.0
1173,Adventure,The Walking Dead: A Telltale Game Series -- Season Two,iPhone,8.0
1174,Adventure,The Walking Dead: A Telltale Game Series -- Season Two,Ouya,8.0
1175,Adventure,The Walking Dead: A Telltale Game Series -- Season Two,PC,8.0
1176,"Card, Battle",Scrolls,PC,7.4
1177,Strategy,Neo Scavenger,PC,7.9
1178,"Action, Adventure",Metal Gear Solid V: Ground Zeroes,PC,8.0
1179,Action,Elite: Dangerous,PC,7.4
1180,RPG,Dead State,PC,6.8
1181,Shooter,Destiny: The Dark Below,PlayStation 4,6.0
1182,Shooter,Destiny: The Dark Below,Xbox One,6.0
1183,Board,The Witcher Adventure Game,iPad,6.9
1184,Board,The Witcher Adventure Game,PC,6.9
1185,Board,The Witcher Adventure Game,Macintosh,6.9
1186,Board,The Witcher Adventure Game,Android,6.9
1187,Platformer,Kalimba,Xbox One,7.4
1188,Fighting,Guilty Gear Xrd Sign,PlayStation 4,8.5
1189,Fighting,Guilty Gear Xrd Sign,PlayStation 3,8.5
1190,"Action, Adventure",Xeodrifter,Nintendo 3DS,6.5
1191,"Action, Adventure",Xeodrifter,PC,6.5
1192,Platformer,Stealth Inc. 2: A Game of Clones,Wii U,8.5
1193,"Puzzle, Adventure",The Talos Principle,PC,8.3
1194,Puzzle,Threes,Xbox One,9.3
1195,Puzzle,Threes,iPhone,9.3
1196,Puzzle,Threes,Android,9.3
1197,Music,Just Dance 2015,Xbox One,8.0
1198,"Compilation, RPG",Kingdom Hearts HD II.5 ReMIX,PlayStation 3,8.4
1199,Action,Lara Croft and the Temple of Osiris,Xbox One,8.1
1200,Shooter,Secret Ponchos,PlayStation 4,7.0
1201,Sports,Rugby 15,PlayStation 4,2.0
1202,Sports,Rugby 15,Xbox One,2.0
1203,Sports,Rugby 15,PlayStation 3,2.0
1204,Sports,Rugby 15,Xbox 360,2.0
1205,Sports,Rugby 15,PC,2.0
1206,Adventure,80 Days,iPhone,9.0
1207,"Racing, Action",The Crew,PlayStation 4,6.0
1208,"Racing, Action",The Crew,Xbox One,6.0
1209,"Racing, Action",The Crew,PC,6.0
1210,Adventure,Game of Thrones: Episode 1 -- Iron From Ice,Xbox One,8.0
1211,Adventure,Game of Thrones: Episode 1 -- Iron From Ice,PC,8.0
1212,Adventure,Game of Thrones: Episode 1 -- Iron From Ice,PlayStation 4,8.0
1213,Adventure,Randal's Monday,PC,4.5
1214,Puzzle,Captain Toad: Treasure Tracker,Wii U,8.2
1215,"Action, RPG",Valkyria Chronicles,PC,8.8
1216,RPG,A Bird Story,PC,8.8
1217,RPG,The Binding of Isaac: Rebirth,PlayStation 4,9.0
1218,RPG,The Binding of Isaac: Rebirth,PC,9.0
1219,Adventure,Tales from the Borderlands -- Episode 1: Zer0 Sum,PC,8.7
1220,Adventure,Tales from the Borderlands -- Episode 1: Zer0 Sum,PlayStation 4,8.7
1221,Strategy,This War Of Mine,PC,8.4
1222,Action,LEGO Batman 3: Beyond Gotham,Wii U,7.4
1223,Action,LEGO Batman 3: Beyond Gotham,PlayStation 4,7.4
1224,RPG,Persona Q: Shadow of the Labyrinth,Nintendo 3DS,8.5
1225,Strategy,Company of Heroes 2: Ardennes Assault,PC,8.2
1226,Fighting,Super Smash Bros. for Wii U,Wii U,9.8
1227,RPG,Pokemon Alpha Sapphire Version,Nintendo 3DS,7.8
1228,RPG,Pokemon Omega Ruby Version,Nintendo 3DS,7.8
1229,Wrestling,WWE 2K15,PlayStation 4,7.0
1230,Wrestling,WWE 2K15,Xbox One,7.0
1231,Action,Escape Dead Island,PC,6.8
1232,Platformer,LittleBigPlanet 3,PlayStation 4,6.8
1233,"Action, Adventure",Grand Theft Auto V,Xbox One,10.0
1234,"Action, Adventure",Grand Theft Auto V,PlayStation 4,10.0
1235,Action,Assassin’s Creed Rogue,Xbox 360,6.8
1236,Action,Assassin’s Creed Rogue,PlayStation 3,6.8
1237,Platformer,Sonic Boom: Rise of Lyric,Wii U,4.3
1238,Strategy,Frozen Synapse Prime,PC,8.7
1239,Sports,Pro Evolution Soccer 2015,Xbox 360,9.0
1240,Sports,Pro Evolution Soccer 2015,PlayStation 3,9.0
1241,Sports,Pro Evolution Soccer 2015,PlayStation 4,9.0
1242,Sports,Pro Evolution Soccer 2015,Xbox One,9.0
1243,Sports,Pro Evolution Soccer 2015,PC,9.0
1244,Shooter,Far Cry 4,PlayStation 3,8.5
1245,Shooter,Far Cry 4,Xbox 360,8.5
1246,Shooter,Far Cry 4,Xbox One,8.5
1247,Shooter,Far Cry 4,PC,8.5
1248,Shooter,Far Cry 4,PlayStation 4,8.5
1249,Platformer,Sonic Boom: Shattered Crystal,Nintendo 3DS,4.0
1250,RPG,World of Warcraft: Warlords of Draenor,PC,9.0
1251,"Adventure, RPG",Dungeon of the Endless,PC,8.1
1252,Action,Depth,PC,7.7
1253,Adventure,Dreamfall Chapters,PC,6.5
1254,"Action, Adventure",Assassin's Creed Unity,PC,7.8
1255,"Action, Adventure",Assassin's Creed Unity,PlayStation 4,7.8
1256,"Action, Adventure",Assassin's Creed Unity,Xbox One,7.8
1257,RPG,Dragon Age: Inquisition,PC,8.8
1258,RPG,Dragon Age: Inquisition,Xbox One,8.8
1259,RPG,Dragon Age: Inquisition,PlayStation 4,8.8
1260,"Sports, Simulation",Football Manager 2015,PC,8.9
1261,Shooter,Halo: The Master Chief Collection,Xbox One,9.0
1262,Action,Freedom Wars,PlayStation Vita,8.0
1263,Fighting,Teenage Mutant Ninja Turtles: Danger of the Ooze,Xbox 360,5.0
1264,Simulation,Spacebase DF-9,PC,6.8
1265,Shooter,Call of Duty: Advanced Warfare,PC,9.1
1266,Shooter,Call of Duty: Advanced Warfare,PlayStation 3,9.1
1267,Shooter,Call of Duty: Advanced Warfare,Xbox 360,9.1
1268,Shooter,Call of Duty: Advanced Warfare,PlayStation 4,9.1
1269,Shooter,Call of Duty: Advanced Warfare,Xbox One,9.1
1270,RPG,Costume Quest 2,Xbox 360,7.8
1271,RPG,Costume Quest 2,Xbox One,7.8
1272,RPG,Costume Quest 2,PlayStation 4,7.8
1273,RPG,Costume Quest 2,PlayStation 3,7.8
1274,Platformer,Shantae and the Pirate's Curse,Nintendo 3DS,8.5
1275,Sports,NBA Live 15,PlayStation 4,5.5
1276,Sports,NBA Live 15,Xbox One,5.5
1277,"RPG, Action",Lords of the Fallen,PC,7.4
1278,Wrestling,WWE 2K15,Xbox 360,5.9
1279,Action,Sunset Overdrive,Xbox One,9.0
1280,Shooter,Screencheat,PC,7.0
1281,Adventure,Gabriel Knight: Sins of the Fathers -- 20th Anniversary Edition,PC,7.0
1282,RPG,Fantasy Life,Nintendo 3DS,8.0
1283,Simulation,Sid Meier's Civilization: Beyond Earth,PC,7.9
1284,Action,The Legend of Korra,Xbox One,4.2
1285,"Music, Action",Disney Fantasia: Music Evolved,Xbox One,8.6
1286,Card,Pokemon Trading Card Game Online,iPhone,6.0
1287,RPG,Legend of Grimrock II,PC,8.6
1288,RPG,Natural Doctrine,PlayStation 4,2.8
1289,Adventure,The Evil Within,Xbox One,8.7
1290,Adventure,The Evil Within,PlayStation 4,8.7
1291,Action,Styx: Master of Shadows,PC,7.2
1292,"Strategy, RPG",Defense Grid 2,PC,8.0
1293,"Strategy, RPG",Defense Grid 2,Xbox One,8.0
1294,"Shooter, RPG",Borderlands: The Pre-Sequel,Xbox 360,8.0
1295,"Shooter, RPG",Borderlands: The Pre-Sequel,PC,8.0
1296,"Shooter, RPG",Borderlands: The Pre-Sequel,PlayStation 3,8.0
1297,Action,Bayonetta 2,Wii U,9.5
1298,Action,Watch Dogs: Bad Blood,PC,6.8
1299,Sports,NBA 2K15,PlayStation 4,7.8
1300,Sports,NBA 2K15,Xbox One,7.8
1301,Sports,NBA 2K15,PC,7.8
1302,Action,Sleeping Dogs: Definitive Edition,Xbox One,8.5
1303,"Productivity, Action",Project Spark,Xbox One,8.0
1304,"Productivity, Action",Project Spark,PC,8.0
1305,RPG,Costume Quest 2,PC,7.6
1306,Racing,Driveclub,PlayStation 4,7.9
1307,RPG,Fairy Fencer F,PlayStation 3,7.3
1308,"Action, Adventure",Alien: Isolation,Xbox One,5.9
1309,"Action, Adventure",Alien: Isolation,PlayStation 4,5.9
1310,"Action, Adventure",Alien: Isolation,PC,5.9
1311,Strategy,Ancient Space,PC,6.6
1312,Adventure,The Vanishing of Ethan Carter,PC,8.5
1313,"Action, Adventure",Skylanders Trap Team,PlayStation 4,8.2
1314,Adventure,Sherlock Holmes: Crimes & Punishments,PC,7.5
1315,Adventure,Sherlock Holmes: Crimes & Punishments,PlayStation 4,7.5
1316,Fighting,Persona 4 Arena Ultimax,Xbox 360,9.1
1317,Fighting,Persona 4 Arena Ultimax,PlayStation 3,9.1
1318,Strategy,Frozen Synapse Prime,PlayStation Vita,8.7
1319,Fighting,Super Smash Bros. for Nintendo 3DS,Nintendo 3DS,8.8
1320,"Action, Adventure",Middle-earth: Shadow of Mordor,Xbox One,9.3
1321,"Action, Adventure",Middle-earth: Shadow of Mordor,PlayStation 4,9.3
1322,"Action, Adventure",Middle-earth: Shadow of Mordor,PC,9.3
1323,Racing,Forza Horizon 2,Xbox One,9.0
1324,Music,Dance Central Spotlight,Xbox One,7.4
1325,RPG,Wasteland 2,PC,8.4
1326,Platformer,Fenix Rage,PC,6.0
1327,Strategy,Endless Legend,PC,8.3
1328,Sports,FIFA 15,PlayStation 4,8.3
1329,Sports,FIFA 15,Xbox One,8.3
1330,Adventure,D4,Xbox One,7.0
1331,RPG,Hack 'n' Slash,PC,7.7
1332,Shooter,Minimum,PC,6.5
1333,Action,Sword Art Online: Hollow Fragment,PlayStation Vita,5.5
1334,Action,Disney Infinity: 2.0 Edition -- Toy Box Starter Pack,PlayStation 4,6.8
1335,Action,Disney Infinity: 2.0 Edition -- Marvel Super Heroes,PlayStation 4,6.8
1336,Strategy,Planetary Annihilation,PC,4.8
1337,Action,Hyrule Warriors,Wii U,7.0
1338,Action,Murasaki Baby,PlayStation Vita,7.5
1339,"Music, RPG",Theatrhythm Final Fantasy: Curtain Call,Nintendo 3DS,8.5
1340,RPG,Hyperdimension Neptunia Re:Birth 1,PlayStation Vita,6.0
1341,Sports,NHL 15,PlayStation 4,7.0
1342,Action,Minecraft,PlayStation 4,9.7
1343,Action,Minecraft,Xbox One,9.7
1344,Adventure,Hatoful Boyfriend,PC,8.0
1345,Action,Dead Rising 3,PC,8.3
1346,Shooter,Destiny,PlayStation 3,7.8
1347,Shooter,Destiny,Xbox One,7.8
1348,Shooter,Destiny,Xbox 360,7.8
1349,Shooter,Destiny,PlayStation 4,7.8
1350,Shooter,Velocity 2X,PlayStation Vita,9.0
1351,Shooter,Velocity 2X,PlayStation 4,9.0
1352,Simulation,The Sims 4,PC,7.5
1353,Shooter,BioShock,iPhone,6.7
1354,"Action, RPG",Lichdom: Battlemage,PC,6.5
1355,Action,Mighty Gunvolt,Nintendo 3DS,7.5
1356,Adventure,The Walking Dead: Season Two -- Episode 5: No Going Back,PC,9.5
1357,Adventure,The Walking Dead: Season Two -- Episode 5: No Going Back,PlayStation Vita,9.5
1358,Adventure,The Walking Dead: Season Two -- Episode 5: No Going Back,Xbox 360,9.5
1359,Adventure,The Walking Dead: Season Two -- Episode 5: No Going Back,PlayStation 3,9.5
1360,Adventure,The Walking Dead: Season Two -- Episode 5: No Going Back,iPhone,9.5
1361,Action,Infamous: First Light,PlayStation 4,7.5
1362,"Action, RPG",Dark Souls II: Crown of the Old Iron King,PlayStation 3,8.0
1363,Sports,The Golf Club,PC,7.0
1364,Sports,The Golf Club: Collector's Edition,Xbox One,7.0
1365,Sports,The Golf Club: Collector's Edition,PlayStation 4,7.0
1366,Adventure,Shadowgate -- The Classic Adventure Re-Imagined,PC,6.4
1367,"Action, Simulation",AirMech Arena,Xbox 360,5.5
1368,Fighting,Phantom Breaker: Battle Grounds,PlayStation Vita,5.0
1369,Shooter,Orbital Gear,PC,6.5
1370,Action,Azure Striker: Gunvolt,Nintendo 3DS,7.8
1371,Sports,Madden NFL 15,PlayStation 4,8.7
1372,Sports,Madden NFL 15,Xbox One,8.7
1373,Shooter,Metro: Redux,Xbox One,8.6
1374,Shooter,Metro: Redux,PlayStation 4,8.6
1375,Shooter,Metro: Redux,PC,8.6
1376,Action,Counterspy,PlayStation 3,7.0
1377,Action,Counterspy,PlayStation Vita,7.0
1378,Action,Counterspy,PlayStation 4,7.0
1379,RPG,Tales of Xillia 2,PlayStation 3,8.0
1380,"Action, RPG",Diablo III: Ultimate Evil Edition,Xbox One,9.2
1381,"Action, RPG",Diablo III: Ultimate Evil Edition,PlayStation 4,9.2
1382,Action,Hohokum,PlayStation 4,8.8
1383,Action,Hohokum,PlayStation Vita,8.8
1384,Action,Hohokum,PlayStation 3,8.8
1385,RPG,Risen 3: Titan Lords,PC,5.2
1386,Action,Firefall,PC,5.7
1387,RPG,Micromon,iPhone,6.7
1388,"Sports, Simulation",Out of the Park Baseball 15,PC,8.5
1389,"Sports, Compilation",Wii Sports Club (Retail Edition),Wii U,8.0
1390,"Sports, Compilation",Wii Sports Club,Wii U,8.0
1391,Action,Siesta Fiesta,Nintendo 3DS,7.9
1392,Strategy,Xenonauts,PC,7.8
1393,RPG,Fates Forever,iPad,7.5
1394,"Puzzle, Action",Metrico,PlayStation Vita,6.5
1395,Puzzle,Road Not Taken,PC,6.7
1396,RPG,Sacred 3,PC,6.5
1397,Action,Sharknado: The Video Game,iPhone,5.5
1398,Platformer,Ori and The Blind Forest,Xbox One,8.5
1399,Action,The Last of Us: Remastered,PlayStation 4,10.0
1400,Adventure,Gods Will Be Watching,PC,8.0
1401,Action,Abyss Odyssey,PC,6.7
1402,Action,Abyss Odyssey,PlayStation 3,6.7
1403,Action,Abyss Odyssey,Xbox 360,6.7
1404,Action,One Piece: Unlimited World Red,PlayStation 3,7.0
1405,Action,One Piece: Unlimited World Red,Wii U,7.0
1406,Action,One Piece: Unlimited World Red,Nintendo 3DS,7.0
1407,Adventure,The Walking Dead: Season Two -- Episode 4: Amid the Ruins,PC,6.0
1408,Adventure,The Walking Dead: Season Two -- Episode 4: Amid the Ruins,Xbox 360,6.0
1409,"Card, Battle",Magic 2015 -- Duels of the Planewalkers,PC,4.5
1410,"Action, RPG",Dark Souls II: Crown of the Sunken King,PC,8.0
1411,Action,Super Comboman,PC,6.0
1412,Adventure,Oddworld: New 'n' Tasty,PlayStation 4,8.5
1413,Shooter,Crimsonland,PlayStation 4,7.5
1414,Strategy,Invisible Inc.,PC,8.5
1415,RPG,Divinity: Original Sin,PC,9.0
1416,Adventure,Another World: 20th Anniversary Edition,PlayStation 3,4.0
1417,Adventure,Another World: 20th Anniversary Edition,PlayStation 4,4.0
1418,Adventure,Another World: 20th Anniversary Edition,PlayStation Vita,4.0
1419,Puzzle,MouseCraft,PC,7.7
1420,Puzzle,MouseCraft,Linux,7.7
1421,Puzzle,MouseCraft,Macintosh,7.7
1422,Puzzle,MouseCraft,PlayStation 4,7.7
1423,Action,Dynasty Warriors: Gundam Reborn,PlayStation 3,7.0
1424,Simulation,Sid Meier's Civilization Revolution 2,iPhone,6.9
1425,"Platformer, Action",Guacamelee! Super Turbo Championship Edition,Xbox One,9.1
1426,"Platformer, Action",Guacamelee! Super Turbo Championship Edition,Xbox 360,9.1
1427,"Platformer, Action",Guacamelee! Super Turbo Championship Edition,Wii U,9.1
1428,"Platformer, Action",Guacamelee! Super Turbo Championship Edition,PlayStation 4,9.1
1429,Adventure,The Wolf Among Us: Episode 5 -- Cry Wolf,PC,9.3
1430,Adventure,The Wolf Among Us: Episode 5 -- Cry Wolf,Xbox 360,9.3
1431,"Sports, Simulation",Don Bradman Cricket,PC,8.0
1432,Action,Transformers: Rise of the Dark Spark,Wii U,4.0
1433,Shooter,Blue Estate,PlayStation 4,3.0
1434,"Action, RPG",Battle Princess of Arcadias,PlayStation 3,7.6
1435,Action,Transformers: Rise of the Dark Spark,Xbox One,4.9
1436,Action,Transformers: Rise of the Dark Spark,PlayStation 4,4.9
1437,Action,Transformers: Rise of the Dark Spark,PlayStation 3,4.9
1438,Action,Transformers: Rise of the Dark Spark,PC,4.9
1439,Action,Transformers: Rise of the Dark Spark,Xbox 360,4.9
1440,Shooter,Resogun Heroes,PlayStation 4,8.5
1441,Shooter,Sniper Elite III,PlayStation 4,8.2
1442,Shooter,Sniper Elite III,PC,8.2
1443,RPG,WildStar,PC,8.7
1444,"Platformer, Adventure",Shovel Knight,Wii U,9.0
1445,"Platformer, Adventure",Shovel Knight,PlayStation Vita,9.0
1446,"Platformer, Adventure",Shovel Knight,PC,9.0
1447,"Platformer, Adventure",Shovel Knight,PlayStation 3,9.0
1448,"Platformer, Adventure",Shovel Knight,Nintendo 3DS,9.0
1449,"Platformer, Adventure",Shovel Knight,PlayStation 4,9.0
1450,"Puzzle, Adventure",Valiant Hearts: The Great War,PlayStation 4,7.7
1451,Racing,Grid Autosport,PC,8.3
1452,Racing,Grid Autosport,PlayStation 3,8.3
1453,Racing,Grid Autosport,Xbox 360,8.3
1454,Platformer,Tales from Space: Mutant Blobs Attack,Xbox 360,8.0
1455,Platformer,Tales from Space: Mutant Blobs Attack,PlayStation 3,8.0
1456,"Flight, Action",War Thunder,PC,7.2
1457,"Flight, Action",War Thunder,PlayStation 4,7.2
1458,"Flight, Action",War Thunder,Macintosh,7.2
1459,Fighting,EA Sports UFC,Xbox One,6.8
1460,Fighting,EA Sports UFC,PlayStation 4,6.8
1461,Adventure,Entwined,PlayStation 4,6.0
1462,Shooter,Enemy Front,PC,4.7
1463,RPG,Mind Zero,PlayStation Vita,7.0
1464,Platformer,1001 Spikes,PlayStation Vita,8.0
1465,Platformer,1001 Spikes,Nintendo 3DS,8.0
1466,Platformer,1001 Spikes,PlayStation 4,8.0
1467,Platformer,1001 Spikes,PC,8.0
1468,Platformer,1001 Spikes,Wii U,8.0
1469,Simulation,Tomodachi Life,Nintendo 3DS,8.4
1470,"Card, Battle",Monster Monpiece,PlayStation Vita,4.9
1471,Adventure,Among the Sleep,PC,7.3
1472,Fighting,Ultra Street Fighter IV,Xbox 360,9.0
1473,Adventure,Murdered: Soul Suspect,Xbox One,5.5
1474,Adventure,Murdered: Soul Suspect,PlayStation 4,5.5
1475,Adventure,Murdered: Soul Suspect,PC,5.5
1476,Platformer,The Sly Collection,PlayStation Vita,8.1
1477,"Action, RPG",The Incredible Adventures of Van Helsing II,PC,7.4
1478,Strategy,Tropico 5,PC,7.2
1479,Action,Watch Dogs,PlayStation 3,7.5
1480,Adventure,The Wolf Among Us: Episode 4 -- In Sheep's Clothing,PC,6.0
1481,Action,Watch Dogs,Xbox One,8.4
1482,Action,Watch Dogs,Xbox 360,8.4
1483,Action,Watch Dogs,PC,8.4
1484,Action,Watch Dogs,PlayStation 4,8.4
1485,Simulation,Hyperdimension Neptunia: Producing Perfection,PlayStation Vita,4.0
1486,"Action, RPG",Drakengard 3 (Collector's Edition),PlayStation 3,4.8
1487,"Action, RPG",Drakengard 3,PlayStation 3,4.8
1488,"Action, RPG",Transistor,PlayStation 4,9.0
1489,"Action, RPG",Transistor,PC,9.0
1490,Shooter,Wolfenstein: The New Order,Xbox 360,7.8
1491,Shooter,Wolfenstein: The New Order,PC,7.8
1492,Shooter,Wolfenstein: The New Order,PlayStation 3,7.8
1493,Shooter,Wolfenstein: The New Order,PlayStation 4,7.8
1494,Shooter,Wolfenstein: The New Order,Xbox One,7.8
1495,"Racing, Action",Mario Kart 8,Wii U,9.0
1496,"Action, Compilation",Sportsfriends,PC,8.7
1497,"Action, Compilation",Sportsfriends,PlayStation 3,8.7
1498,"Action, Compilation",Sportsfriends,PlayStation 4,8.7
1499,Shooter,Super TIME Force,Xbox 360,7.5
1500,Shooter,Super TIME Force,Xbox One,7.5
1501,Adventure,The Walking Dead: Season Two -- Episode 3: In Harm's Way,PC,9.0
1502,Shooter,Titan Attacks!,PlayStation Vita,7.5
1503,Shooter,Titan Attacks!,PlayStation 4,7.5
1504,Shooter,Titan Attacks!,PlayStation 3,7.5
1505,"Shooter, RPG",Borderlands 2,PlayStation Vita,5.4
1506,"Action, RPG",Bound by Flame,PC,7.0
1507,"Action, RPG",Bound by Flame,PlayStation 4,7.0
1508,Compilation,God of War Collection,PlayStation Vita,6.3
1509,"Action, Adventure",Outlast: Whistleblower,PlayStation 4,6.4
1510,"Action, Adventure",Outlast: Whistleblower,PC,6.4
1511,Adventure,Tesla Effect: A Tex Murphy Adventure,PC,6.8
1512,Fighting,JoJo's Bizarre Adventure: All Star Battle,PlayStation 3,7.4
1513,Action,The Amazing Spider-Man 2,iPhone,4.5
1514,Shooter,"Sir, You are Being Hunted",PC,7.7
1515,Adventure,Republique -- Episode 2: Metamorphosis,iPhone,7.5
1516,Action,The Amazing Spider-Man 2,Xbox One,5.4
1517,Action,The Amazing Spider-Man 2,Wii U,5.4
1518,Action,The Amazing Spider-Man 2,PC,5.4
1519,Action,The Amazing Spider-Man 2,PlayStation 3,5.4
1520,Action,The Amazing Spider-Man 2,PlayStation 4,5.4
1521,Action,The Amazing Spider-Man 2,Xbox 360,5.4
1522,Flight,Starlight Inception,PlayStation Vita,3.8
1523,Strategy,Wargame: Red Dragon,PC,7.6
1524,Adventure,Daylight,PC,5.8
1525,Adventure,Daylight,PlayStation 4,5.8
1526,RPG,Child of Light,PC,9.3
1527,RPG,Child of Light,PlayStation Vita,9.3
1528,RPG,Child of Light,PlayStation 4,9.3
1529,RPG,Child of Light,Xbox One,9.3
1530,RPG,Child of Light,Xbox 360,9.3
1531,RPG,Child of Light,PlayStation 3,9.3
1532,RPG,Child of Light,Wii U,9.3
1533,Strategy,The Last Federation,PC,6.9
1534,Platformer,Kirby: Triple Deluxe,Nintendo 3DS,6.0
1535,Action,"Batman: Arkham Origins -- Cold, Cold Heart",PC,7.0
1536,Simulation,FTL: Faster Than Light,PC,9.6
1537,Simulation,FTL: Faster Than Light,iPad,9.6
1538,Action,Mercenary Kings,PC,8.0
1539,Action,Mercenary Kings,PlayStation 4,8.0
1540,"Sports, Action",Mario Golf World Tour,Nintendo 3DS,8.6
1541,Adventure,Octodad: Dadliest Catch,PlayStation 4,7.8
1542,Party,NES Remix 2,Wii U,7.7
1543,Strategy,Hitman Go,iPhone,8.2
1544,Strategy,Hitman Go,Android,8.2
1545,,War of the Vikings,PC,3.5
1546,Adventure,LEGO: The Hobbit,Nintendo 3DS,7.0
1547,Adventure,Ether One,PC,7.9
1548,Sports,2014 FIFA World Cup Brazil,PlayStation 3,7.5
1549,Sports,2014 FIFA World Cup Brazil,Xbox 360,7.5
1550,"Racing, Action",Trials Fusion,Xbox One,8.2
1551,"Racing, Action",Trials Fusion,PlayStation 4,8.2
1552,"Racing, Action",Trials Fusion,Xbox 360,8.2
1553,"Racing, Action",Trials Fusion,PC,8.2
1554,,Boom Beach,iPhone,7.0
1555,Baseball,RBI Baseball 14,PlayStation 3,4.5
1556,Board,Pure Chess,PlayStation 3,6.0
1557,Board,Pure Chess,PlayStation Vita,6.0
1558,Board,Pure Chess,Wii U,6.0
1559,Board,Pure Chess,PlayStation 4,6.0
1560,"Sports, Simulation",Football Manager Classic 2014,PlayStation Vita,7.5
1561,"Sports, Baseball",MLB 14: The Show,PlayStation Vita,7.1
1562,Adventure,LEGO: The Hobbit,Xbox One,7.4
1563,Adventure,LEGO: The Hobbit,PlayStation 4,7.4
1564,Adventure,The Wolf Among Us: Episode 3 -- A Crooked Mile,PlayStation 3,9.2
1565,Adventure,The Wolf Among Us: Episode 3 -- A Crooked Mile,Xbox 360,9.2
1566,Adventure,The Wolf Among Us: Episode 3 -- A Crooked Mile,PC,9.2
1567,"Sports, Party",Kinect Sports Rivals,Xbox One,7.3
1568,"Sports, Simulation",Don Bradman Cricket 14,PlayStation 3,6.8
1569,"Sports, Simulation",Don Bradman Cricket,Xbox 360,6.8
1570,"Sports, Baseball",MLB 14: The Show,PlayStation 3,8.1
1571,"Sports, Baseball",MLB 14: The Show,PlayStation 4,8.1
1572,Shooter,Dead Nation: Apocalypse Edition,PlayStation 4,8.0
1573,"Action, Adventure",Betrayer,PC,5.0
1574,Strategy,Age of Wonders III,PC,7.1
1575,Action,Goat Simulator,PC,8.0
1576,Strategy,Smite,PC,8.5
1577,RPG,The Elder Scrolls Online [2014],PC,7.8
1578,"Action, RPG",Diablo III: Reaper of Souls,PC,9.1
1579,"Action, RPG",Diablo III: Reaper of Souls,Macintosh,9.1
1580,RPG,Atelier Escha & Logy: Alchemist of Dusk Sky,PlayStation 3,7.0
1581,Fighting,BlazBlue: Chrono Phantasma,PlayStation 3,8.5
1582,Fighting,BlazBlue: Chrono Phantasma,PlayStation Vita,8.5
1583,RPG,World of Tanks,Xbox 360,8.0
1584,Action,TowerFall Ascension,PC,8.9
1585,Action,TowerFall Ascension,PlayStation 4,8.9
1586,Shooter,Bioshock Infinite: Burial at Sea -- Episode Two,PC,8.8
1587,Puzzle,Pokemon Battle Trozei,Nintendo 3DS,7.0
1588,Shooter,Deus Ex: The Fall,PC,3.0
