,reviewd,name,platform,score
229,2017-08-05,Namco Museum,"PS2,Switch",7.5
230,2017-08-02,Dino Frontier,PS4,8
231,2017-08-01,Tacoma,"Mac OS,PC,Xbox One",9
232,2017-08-01,Aztez,"PC,PS4,PSVita,Wii-U,Xbox One",9
233,2017-07-31,Redeemer,PC,5
234,2017-07-31,Layton's Mystery Journey: Katrielle and the Millionaires' Conspi,iPad,6
235,2017-07-31,Patapon,"PS4,PSP",8
236,2017-07-30,The End is Nigh,"PC,Switch",8.5
237,2017-07-27,Yonder: The Cloud Catcher Chronicles,"PC,PS4",8
238,2017-07-27,Theseus,PS4,4.5
239,2017-07-27,Miitopia,3DS,7
240,2017-07-27,Sundered,"Mac OS,PC,PS4",6
241,2017-07-27,The Darkside Detective,Mac OS,5.5
242,2017-07-26,Hey! Pikmin,3DS,7
243,2017-07-24,Accel World VS Sword Art Online: Millennium Twilight ,"PS4,PSVita",4.5
244,2017-07-24,Nioh: Defiant Honor,PS4,8.5
245,2017-07-24,Pyre,"PC,PS4",8.5
246,2017-07-21,Splatoon 2,Switch,8.5
247,2017-07-19,Fallen Legion,"PS4,PSVita",7.5
248,2017-07-19,Turok 2: Seeds of Evil,"PC,Xbox One",6
249,2017-07-18,Stay! Stay! Democratic People's Republic of Korea!,PC,4.5
250,2017-07-14,Fantastic Contraption,"PC,PS4",6
251,2017-07-13,Get Even,"PC,PS4,Xbox One",8
252,2017-07-12,Shephy,"Android,iPhone,Switch",3
253,2017-07-12,De Mambo,"PC,PS4,Switch",7
254,2017-07-10,Final Fantasy XII: The Zodiac Age,"PC,PS4",8
255,2017-07-09,Bulb Boy,"PC,Switch",8
256,2017-07-08,That's You,PS4,6.5
257,2017-07-06,Call of Duty: Infinite Warfare: Absolution,"PC,PS4,Xbox One",6.5
258,2017-07-06,Kirby's Blowout Blast,3DS,6
259,2017-07-05,Elite Dangerous,"Mac OS,PC,PS4,Xbox One",9
260,2017-07-03,Micro Machines World Series,"PC,PS4,Xbox One",5
261,2017-07-01,The Legend of Zelda: Breath of the Wild - The Master Trials,"Switch,Wii-U",7
262,2017-06-30,Oceanhorn: Monster of Uncharted Seas,"Android,iPad,iPhone,Mac OS,PC,PS4,PSVita,Switch,Xbox One",6.5
263,2017-06-29,Tokyo Xanadu,"PC,PSVita",6.5
