,date,game,platform,score
123,2017-11-09,Monopoly for Nintendo Switch,Switch,5
124,2017-11-08,Taiko no Tatsujin: Drum Session!,PS4,9
125,2017-11-07,Sonic Forces,"PC,PS4,Switch,Xbox One",5.5
126,2017-11-07,Call of Duty: WWII,"PC,PS4,Xbox One,Xbox One X",7
127,2017-11-06,Horizon Zero Dawn: The Frozen Wilds,PS4,7.5
128,2017-11-06,Marvel's Guardians of the Galaxy: The Telltale Series: Don't Sto,"Android,iPhone,PC,PS4,Xbox One",5
129,2017-11-05,Creeping Terror,3DS,5
130,2017-11-03,Super Lucky's Tale,"PC,Xbox One",7
131,2017-11-03,Splasher,"PC,PS4,Switch,Xbox One",9
132,2017-11-02,Bubsy: The Woolies Strike Back,"PC,PS4",3
133,2017-11-02,Million Onion Hotel,"Android,iPad,iPhone",8
134,2017-10-31,Steven Universe: Save the Light,"PS4,Xbox One",4.5
135,2017-10-30,Wolfenstein II: The New Colossus,"PC,PS4,Switch,Xbox One",8
136,2017-10-29,Super Mario Odyssey,"PS4,Switch",9.5
137,2017-10-29,Total War: Warhammer II,PC,8.5
138,2017-10-27,Assassin's Creed Origins,"PC,PS4,Xbox One",8
139,2017-10-27,Yomawari: Midnight Shadows,"PC,PS4,PSVita",8.5
140,2017-10-26,Gran Turismo Sport,PS4,6
141,2017-10-24,Campfire Cooking,iPad,8
142,2017-10-24,The Mummy Demastered,"PC,PS4,Switch,Xbox One",7.5
143,2017-10-23,Chaos;Child,"PS4,PSVita",6
144,2017-10-23,High Hell,PC,8
145,2017-10-22,A Mortician's Tale,"Mac OS,PC",8
146,2017-10-21,Lichtspeer,"Mac OS,PC,PS4,Switch",7
147,2017-10-21,Fire Emblem Warriors,"3DS,Switch",6.5
148,2017-10-21,Overgrowth,"Mac OS,PC",6
149,2017-10-20,The Jackbox Party Pack 4,"Mac OS,PC,PS4,Switch,Xbox One",7
150,2017-10-20,ELEX,"PC,PS4,Xbox One",7
151,2017-10-20,WWE 2K18,"PC,PS4,Switch,Xbox One",5
152,2017-10-19,Life is Strange: Before the Storm: Brave New World,"PC,PS4,Xbox One",7.5
153,2017-10-19,Hob,"PC,PS4,Xbox One",5
154,2017-10-18,The Evil Within 2,"PC,PS4,Xbox One",7
155,2017-10-18,Echo,"PC,PS4",8.5
156,2017-10-17,South Park: The Fractured but Whole,"PC,PS4,Xbox One",8.5
157,2017-10-16,Divinity: Original Sin 2,PC,9
158,2017-10-16,Forza Motorsport 7,"PC,Xbox One,Xbox One X",6
159,2017-10-16,Etrian Odyssey V: Beyond the Myth,3DS,7.5
160,2017-10-13,Golf Story,Switch,9
161,2017-10-12,Battle Chasers: Nightwar,"PC,PS4,Switch,Xbox One",8
162,2017-10-12,Final Fantasy XIV: Stormblood: The Legend Returns,PS4,8
163,2017-10-12,Gundam Versus,PS4,6
164,2017-10-11,Middle-Earth: Shadow of War,"PC,PS4,Xbox One",7
165,2017-10-11,Axiom Verge,"PC,PS4,PSVita,Wii-U,Xbox One",7.5
166,2017-10-11,Axiom Verge: Multiverse Edition,Switch,7.5
167,2017-10-09,Mystik Belle,"PC,PS4,Xbox One",7
168,2017-10-09,Marvel's Guardians of the Galaxy: The Telltale Series: Who Needs,"Android,iPhone,PC,PS4,Xbox One",7
169,2017-10-08,1bitHeart,PC,7.5
170,2017-10-05,Final Fantasy IX,"Android,iPad,iPhone,PC,PS1,PS4",9
171,2017-10-04,Pokemon Gold,3DS,9
172,2017-10-04,Culdcept Revolt,3DS,7
173,2017-10-04,Road Redemption,"PC,Wii-U",9
174,2017-10-04,Mario & Luigi: Superstar Saga + Bowser's Minions,3DS,7.5
175,2017-10-03,A Hat in Time,"Mac OS,PC,PS4,Xbox One",8.5
176,2017-10-02,Batman: The Enemy Within: The Pact,"Android,iPhone,PC,PS4,Xbox One",6
