,date,game,platform,score
804,2016-04-26,Zen Pinball 2: Aliens vs Pinball,"Android,iPhone,Mac OS,PC,PS3,PS4,PSVita,Xbox 360,Xbox One",8
805,2016-04-26,The Walking Dead: Michonne: What We Deserve,"PC,PS4,Xbox One",6.5
806,2016-04-25,Alienation,PS4,8.5
807,2016-04-25,Zenge,"Android,iPhone,PC",5
808,2016-04-22,Sega 3D Classics Collection,3DS,7
809,2016-04-21,Keep Talking and Nobody Explodes,"PC,PS4",9
810,2016-04-21,Albino Lullaby: Episode 1,PC,7
811,2016-04-20,MLB The Show 16,"PS3,PS4",7.5
812,2016-04-20,BlazeRush,"PC,PS3,PS4",4.5
813,2016-04-20,Star Fox Zero,Wii-U,7
814,2016-04-20,Star Fox Guard,Wii-U,6
815,2016-04-19,Call of Duty: Black Ops III: Eclipse,PS4,7.5
816,2016-04-18,Stephen's Sausage Roll,"Mac OS,PC",10
817,2016-04-14,Phantasmal,PC,3
818,2016-04-13,Fallout 4: Wasteland Workshop,"PC,PS4,Xbox One",4
819,2016-04-13,Bravely Second: End Layer,3DS,7
820,2016-04-11,Stranger of Sword City,"PC,PSVita,Xbox One",8
821,2016-04-11,Epic Dumpster Bear,Wii-U,6.5
822,2016-04-11,Ratchet & Clank,"Film or TV,PS2,PS4",8
823,2016-04-10,NightCry,"Android,iPad,PC,PS4,PSVita,Xbox One",2
824,2016-04-10,Killer Instinct,"PC,Xbox One",7.5
825,2016-04-10,Killer Instinct: Season 3,"PC,Xbox One",8.5
826,2016-04-09,Baldur's Gate: Siege of Dragonspear,"Mac OS,PC",7
827,2016-04-08,Minecraft: Story Mode: Order Up,"Mac OS,PC,PS3,PS4,Wii-U,Xbox One",6
828,2016-04-07,Aegis of Earth: Protonovus Assault,"PS3,PS4,PSVita",4
829,2016-04-05,Quantum Break,"PC,Xbox One",8.5
830,2016-04-05,Esper 2,PC,8
831,2016-04-05,Enter the Gungeon,"Mac OS,PC,PS4,Switch,Xbox One",9.5
832,2016-04-04,Star Wars Battlefront: Outer Rim,"PC,PS4,Xbox One",7
833,2016-04-04,Hyper Light Drifter,"Mac OS,PC,PS3,PS4,PSVita,Wii-U,Xbox 360,Xbox One",9
834,2016-04-04,the Sequence,"Android,iPhone,PC",7
835,2016-04-04,Dark Souls III,"PC,PS3,PS4,Xbox 360,Xbox One",8.5
836,2016-03-31,Darknet,"PC,PS4",8
837,2016-03-31,Angry Video Game Nerd II: ASSimilation,"Mac OS,PC",6.5
838,2016-03-30,Smashing the Battle,"PC,PS4",5.5
839,2016-03-30,The Walking Dead: Michonne: Give No Shelter,"PC,PS4,Xbox One",6
840,2016-03-29,Nights of Azure,PS4,5
841,2016-03-29,StarCraft II,PC,9.5
842,2016-03-29,StarCraft II: Nova Covert Ops - Mission Pack 1,PC,7.5
843,2016-03-29,Slain!,"Mac OS,PC,PS4,PSVita,Wii-U,Xbox One",3.5
844,2016-03-29,Windlands,PC,6
845,2016-03-29,Trillion: God of Destruction,PSVita,3
846,2016-03-29,Mini Mario & Friends: amiibo Challenge,"3DS,Wii-U",6
847,2016-03-28,Adventure Time: Magic Man's Head Games,PC,7
848,2016-03-28,Adr1ft,"PC,PS4,Xbox One",8
849,2016-03-28,EVE: Valkyrie,"PC,PS4",8
850,2016-03-28,Lucky's Tale,PC,7.5
851,2016-03-25,Dead or Alive Xtreme 3: Fortune,"PS4,PSVita",1.5
852,2016-03-25,Samorost 3,"Android,iPad,iPhone,Mac OS,PC",8
853,2016-03-23,Fallout 4: Automatron,"PC,PS4,Xbox One",6
854,2016-03-22,TrackMania Turbo,"PC,PS4,Xbox One",8.5
855,2016-03-21,Day of the Tentacle Remastered,"PC,PS4",8.5
856,2016-03-21,Hyrule Warriors Legends,3DS,8
857,2016-03-21,Shred It!,"Android,iPhone,Xbox One",3.5
858,2016-03-20,Pharaoh Rebirth+,PC,8
859,2016-03-19,Dynetzzle Extended,PC,6
860,2016-03-18,Alekhine's Gun,PC,4
861,2016-03-18,Mutant Mudds Super Challenge,"3DS,Wii,Wii-U",8.5
862,2016-03-18,Republique,"Android,iPad,iPhone,Mac OS,PC,PS4",7
863,2016-03-18,Republique Remastered,"PC,PS4",6.5
864,2016-03-17,Deadbolt,"PC,PS4,PSVita",8
865,2016-03-16,Shadow Complex Remastered,"PC,PS4,Xbox One",8
866,2016-03-15,Just Cause 3: Sky Fortress,"PC,PS4,Xbox One",5
867,2016-03-15,Pokken Tournament,Wii-U,7.5
868,2016-03-15,Senran Kagura Estival Versus,"PS4,PSVita",7.5
869,2016-03-14,BROFORCE,"Mac OS,PC,PS4",6
870,2016-03-14,Salt and Sanctuary,"PC,PS4,PSVita",8.5
871,2016-03-14,Tom Clancy's The Division,"PC,PS4,Xbox One",6.5
872,2016-03-12,A Bastard's Tale,PC,6
873,2016-03-10,Telepaint,"iPad,iPhone",7.5
874,2016-03-10,DeathSmiles,"Android,iPad,iPhone,PC,Xbox 360,Xbox One",7
875,2016-03-08,Blood Alloy: Reborn,PC,6.5
876,2016-03-07,Stardew Valley,"Mac OS,PC,PS4,PSVita,Switch,Xbox One",9.5
877,2016-03-07,Sadame,3DS,4.5
878,2016-03-02,Assassin's Creed Syndicate: The Last Maharaja,"PC,PS4,Xbox One",6
879,2016-03-02,Pokemon Blue,3DS,7
880,2016-03-02,The Legend of Zelda: Twilight Princess HD,Wii-U,8
881,2016-03-01,Return to PopoloCrois: A STORY OF SEASONS Fairytale,3DS,7
882,2016-02-29,Gurgamoth,PC,5
883,2016-02-29,This War of Mine: The Little Ones,"PS4,Xbox One",6.5
884,2016-02-29,Pokemon Red,3DS,7.5
885,2016-02-29,Pokemon Yellow,"3DS,Placeholder",7
886,2016-02-29,Attractio,"Mac OS,PC,PS4,PSVita",5
887,2016-02-28,Slashy Souls,"Android,iPhone",1
888,2016-02-28,Soul Axiom,"Mac OS,PC,PS3,PS4,Wii-U,Xbox One",2.5
889,2016-02-25,Assassin's Creed Identity,iPhone,6
890,2016-02-25,Superhot,"Mac OS,PC,PS4,Xbox One",9
891,2016-02-24,The Flame in the Flood,"Mac OS,PC,PS4,Switch,Xbox One",7.5
892,2016-02-23,The Walking Dead: Michonne: In Too Deep,"PC,PS3,PS4,Xbox 360,Xbox One",7
893,2016-02-22,Ninja Senki DX,"PC,PS4,PSVita",8
894,2016-02-22,Far Cry Primal,"PC,PS4,Xbox One",7
895,2016-02-20,Devil Daggers,PC,10
896,2016-02-19,Megadimension Neptunia VII,"PC,PS4",6.5
897,2016-02-19,Shooting Stars!,"Android,iPad,iPhone,PC",4
898,2016-02-19,Tron Run/r,"PC,PS4,Xbox One",5
899,2016-02-18,Plants vs. Zombies: Garden Warfare 2,"PC,PS4,Xbox One",9
900,2016-02-17,Fire Emblem Fates: Revelation,3DS,9
901,2016-02-16,Project X Zone 2,3DS,8.5
902,2016-02-16,Cobalt,"PC,Xbox 360,Xbox One",4
903,2016-02-15,Street Fighter V,"PC,PS4,Xbox One",8
904,2016-02-15,XCOM 2,"Mac OS,PC,PS4,Xbox One",7
905,2016-02-14,Dub Dash,"Android,iPhone,PC",6
906,2016-02-14,Layers of Fear,"Mac OS,PC,PS4,Xbox One",7
907,2016-02-12,Sorcery! Parts 1 & 2,PC,8
908,2016-02-12,Atelier Escha & Logy Plus: Alchemists of the Dusk Sky,PSVita,7
909,2016-02-10,Digimon Story: Cyber Sleuth,"PS4,PSVita",7.5
910,2016-02-09,Dying Light: The Following - Enhanced Edition,"PC,PS4,Xbox One",9
911,2016-02-09,Arslan: The Warriors of Legend,"PC,PS3,PS4,Xbox One",8
912,2016-02-08,Assassin's Creed Chronicles: Russia,"PC,PS4,Xbox One",6
913,2016-02-08,Firewatch,"Mac OS,PC,PS4,Xbox One",8
914,2016-02-08,Unravel,"PC,PS4,Xbox One",10
915,2016-02-06,A Boy and His Blob,"Mac OS,PC,PS4,PSVita,Wii,Xbox One",4
916,2016-02-05,Tachyon Project,"PS4,Xbox One",7
917,2016-02-04,Fortified,"PC,Xbox One",7
918,2016-02-04,Blitz Breaker,PC,7.5
919,2016-02-04,Naruto Shippuden: Ultimate Ninja Storm 4,"PC,PS4,Xbox One",8
920,2016-02-02,Nitroplus Blasterz: Heroines of Infinite Duel,"PS3,PS4",8
921,2016-02-02,Harvest Moon: Seeds of Memories,"Android,iPhone,PC,Wii-U",6.5
922,2016-02-02,AIPD - Artificial Intelligence Police Department,"PC,PS4",5.5
923,2016-02-02,Call of Duty: Black Ops III: Awakening,PS4,8
924,2016-02-01,Shadow Puppeteer,"PC,Wii-U",5
925,2016-01-29,LEGO Marvel's Avengers,"3DS,PC,PS3,PS4,PSVita,Wii-U,Xbox 360,Xbox One",6
926,2016-01-29,American Truck Simulator,"Mac OS,PC",8.5
927,2016-01-29,Bombshell,"PC,PS4,Xbox One",2.5
928,2016-01-29,Rise of the Tomb Raider - Baba Yaga: The Temple of the Witch,"PC,Xbox One",8
929,2016-01-27,Darkest Dungeon,"iPad,iPhone,Mac OS,PC,PS4,PSVita,Switch,Xbox One",8
930,2016-01-26,Final Fantasy Explorers,3DS,7
931,2016-01-25,The Witness,"iPad,iPhone,PC,PS4,Xbox One",10
932,2016-01-20,Homeworld: Deserts of Kharak,PC,7.5
933,2016-01-20,Rebel Galaxy,"PC,PS4",6.5
934,2016-01-19,The Deadly Tower of Monsters,"PC,PS4",8
935,2016-01-18,Resident Evil 0 HD Remaster,"PC,PS3,PS4,Xbox 360,Xbox One",9
936,2016-01-18,The Bug Butcher,"Mac OS,PC",9
937,2016-01-17,Jotun,PC,9
938,2016-01-15,Gravity Rush Remastered,PS4,8
939,2016-01-15,Oxenfree,"Android,iPad,PC,PS4,Switch,Xbox One",9
940,2016-01-15,The Aquatic Adventure of the Last Human,PC,8.5
941,2016-01-13,Pocket Mortys,"Android,iPhone",7
942,2016-01-12,Assassin's Creed Chronicles: India,"PC,PS4,Xbox One",7
943,2016-01-11,Tharsis,"iPad,iPhone,PC,PS4",6.5
944,2016-01-11,"That Dragon, Cancer","PC,Placeholder",7.5
945,2016-01-10,Pony Island,PC,9.5
946,2016-01-08,Chiptune Champion,PC,7
947,2016-01-06,Hardware: Rivals,PS4,6
948,2016-01-05,Minecraft: Story Mode: A Block and a Hard Place,"Mac OS,PC,PS3,PS4,Wii-U,Xbox 360,Xbox One",4
949,2016-01-05,Amplitude,"PS2,PS3,PS4",6.5
950,2016-01-05,Rise of the Tomb Raider: Endurance Mode,Xbox One,7
951,2016-01-04,Among the Sleep,"Mac OS,PC,PS4",8
952,2016-01-03,Freedom Planet,"Mac OS,PC,PS4,Wii-U",7
953,2015-12-30,Underrail,PC,7.5
954,2015-12-29,Minecraft Wii U Edition,Wii-U,5.5
955,2015-12-24,Sakura Santa,PC,5
956,2015-12-23,Batman: Arkham Knight: Season of Infamy,"PS4,Xbox One",7.5
957,2015-12-22,Hatoful Boyfriend: Holiday Star,"PC,PS4,PSVita",4
958,2015-12-22,The Legend of Heroes: Trails of Cold Steel,"PC,PS3,PSVita",7
959,2015-12-20,Guns Up!,"PS3,PS4,PSVita",2.5
960,2015-12-18,Dark Cloud,"PS2,PS4",8.5
961,2015-12-17,Yakuza 5,"PS3,PS4",8.5
962,2015-12-17,Turok: Dinosaur Hunter,"PC,Xbox One",6.5
963,2015-12-17,King's Quest: Rubble Without a Cause,"PC,PS3,PS4,Xbox 360,Xbox One",9
964,2015-12-16,Assassin's Creed Syndicate: Jack the Ripper,"PC,PS4,Xbox One",7
965,2015-12-15,Nuclear Throne,"Mac OS,PC,PS3,PS4,PSVita,Xbox One",8
966,2015-12-15,The Bit.Trip,"PS3,PS4,PSVita",9
967,2015-12-11,Devil's Third,"PC,PS3,Wii-U,Xbox 360",4.5
968,2015-12-10,Hearthstone: Heroes of Warcraft,"Android,iPad,iPhone,Mac OS,PC",8
969,2015-12-10,Hearthstone: League of Explorers,PC,8.5
970,2015-12-09,Girls Like Robots,"iPhone,Mac OS,PC,Wii-U",5
971,2015-12-09,SteamWorld Heist,"3DS,PC,PS4,PSVita,Switch",8.5
972,2015-12-08,Rayman Adventures,"Android,iPad,iPhone",6
973,2015-12-08,Earth Defense Force 4.1: The Shadow of New Despair,"PC,PS4",8
974,2015-12-08,Fast Racing NEO,Wii-U,9
975,2015-12-08,Earth Defense Force 2: Invaders From Planet Space,PSVita,8
976,2015-12-07,Fat Princess Adventures,PS4,7
977,2015-12-07,Mario & Luigi: Paper Jam,3DS,8
978,2015-12-06,Dariusburst Chronicle Saviours,"PC,PS4,PSVita",6
979,2015-12-04,Kung Fu Panda: Showdown of Legendary Legends,"PC,PS4,Wii-U,Xbox One",6
980,2015-12-03,Animal Crossing amiibo Festival,Wii-U,5
981,2015-12-03,Pokemon Picross,3DS,8
982,2015-12-02,Tom Clancy's Rainbow Six Siege,"PC,PS4,Xbox One",8
983,2015-12-02,Dementium Remastered,3DS,1
984,2015-11-30,Superbeat: XONiC,PSVita,9.5
985,2015-11-30,Xenoblade Chronicles X,Wii-U,9
986,2015-11-27,Pokemon Super Mystery Dungeon,3DS,9
987,2015-11-26,Dynasty Warriors 8 Empires,"PC,PS3,PS4,PSVita,Xbox One",9
988,2015-11-25,Mighty Switch Force! Academy,PC,7.5
989,2015-11-24,Minecraft: Story Mode: The Last Place You Look,"Mac OS,PC,PS3,PS4,Xbox 360,Xbox One",6
990,2015-11-24,Bloodborne,PS4,9
991,2015-11-24,Bloodborne: The Old Hunters,PS4,7.5
992,2015-11-21,Mayan Death Robots,PC,6
993,2015-11-20,Renowned Explorers: International Society,"Mac OS,PC",6
994,2015-11-19,Typoman,Wii-U,3.5
995,2015-11-18,Super Star Wars,"PS4,PSVita",7.5
996,2015-11-18,Hard West,"Mac OS,PC",5
997,2015-11-18,Mario Tennis: Ultra Smash,Wii-U,5.5
998,2015-11-17,Game of Thrones: A Telltale Game Series: The Ice Dragon,"Mac OS,PC,PS3,PS4,Xbox 360,Xbox One",7
999,2015-11-17,Knight Squad,"PC,Xbox One",7
1000,2015-11-17,Star Wars Battlefront,"PC,PS4,Xbox One",6
1001,2015-11-14,Clandestine,PC,8
1002,2015-11-13,Stella Glow,3DS,7
1003,2015-11-13,Sword Art Online: Lost Song,"PS3,PS4,PSVita",6
1004,2015-11-11,Moco Moco Friends,3DS,6
1005,2015-11-11,Final Fantasy XIV: A Realm Reborn,"Mac OS,PC,PS3,PS4",9
1006,2015-11-11,"Final Fantasy XIV: Heavensward: As Goes Light, So Goes Darkness",PS4,7
1007,2015-11-09,Rodea: The Sky Soldier,"3DS,Wii,Wii-U",7
1008,2015-11-09,Just Dance 2016,"PS3,PS4,Wii,Wii-U,Xbox 360,Xbox One",6
1009,2015-11-09,Rise of the Tomb Raider,"PC,PS4,Xbox 360,Xbox One",7.5
1010,2015-11-09,Fallout 4,"PC,PS3,PS4,Xbox 360,Xbox One",7.5
1011,2015-11-06,The Age of Decadence,PC,9
1012,2015-11-06,Binding of Isaac: Afterbirth,"PC,PS4",9
1013,2015-11-04,Yo-Kai Watch,3DS,8.5
1014,2015-11-03,Need for Speed,"Film or TV,PC,PS4,Xbox One",6
1015,2015-11-02,Kingdom,"PC,Xbox One",7
1016,2015-11-02,Poncho,"Mac OS,PC,Placeholder,PS4,PSVita,Wii-U",6
1017,2015-11-02,Mushihimesama,PC,9
1018,2015-11-02,Minecraft: Story Mode: Assembly Required,"Mac OS,PC,PS3,PS4,Wii-U,Xbox 360,Xbox One",5
1019,2015-10-31,Sword Coast Legends,"Mac OS,PC,PS4,Xbox One",6
1020,2015-10-30,Human Resource Machine,"Mac OS,PC,Switch,Wii-U",6
1021,2015-10-29,Overlord: Fellowship of Evil,"PC,PS4,Xbox One",1.5
1022,2015-10-28,Assassin's Creed Syndicate,"PC,PS4,Xbox One",7.5
1023,2015-10-28,Assault Android Cactus,"PC,PS4,PSVita,Wii-U",9
1024,2015-10-27,The Park,"PC,PS4,Xbox One",6
1025,2015-10-26,The Legend of Legacy,3DS,4.5
1026,2015-10-26,Warhammer: End Times - Vermintide,"PC,PS4,Xbox One",7.5
1027,2015-10-26,Halo 5: Guardians,"PC,Xbox One",7
1028,2015-10-23,Penarium,"Mac OS,PC,PS4,Xbox One",8
1029,2015-10-21,Bedlam,"PC,PS1,PS4",6
1030,2015-10-21,The Legend of Zelda: Tri Force Heroes,3DS,7
1031,2015-10-20,Tales from the Borderlands: The Vault of the Traveler,"iPhone,Mac OS,PC,PS3,PS4,Xbox 360,Xbox One",9
1032,2015-10-20,Life is Strange: Polarized,"PC,PS3,PS4,Xbox 360,Xbox One",6
1033,2015-10-20,Downwell,"Android,iPad,iPhone,PC,PS4,PSVita",10
1034,2015-10-20,Pulse,"Android,PC",6.5
1035,2015-10-20,Tales of Zestiria,"PC,PS3,PS4",7.5
1036,2015-10-20,Guitar Hero Live,"PS3,PS4,Wii-U,Xbox 360,Xbox One",9.5
1037,2015-10-19,Fatal Frame: Maiden of Black Water,Wii-U,4
1038,2015-10-17,Mushroom 11,"Android,iPad,iPhone,Mac OS,PC",7
1039,2015-10-16,Yoshi's Woolly World,Wii-U,7
1040,2015-10-15,Dragon Ball Z: Extreme Butoden,3DS,5
1041,2015-10-13,Jackbox Party Pack 2,"PC,PS3,PS4,Xbox One",8.5
1042,2015-10-13,Minecraft: Story Mode: The Order of the Stone,"Mac OS,PC,PS3,PS4,Xbox 360,Xbox One",5
1043,2015-10-10,System Shock: Enhanced Edition,PC,9
1044,2015-10-09,Metal Gear Online,"PC,PS3,PS4,Xbox One",6.5
1045,2015-10-08,Chibi-Robo! Zip Lash,3DS,5.5
1046,2015-10-07,Dengeki Bunko: Fighting Climax,"PS3,PSVita",6.5
1047,2015-10-07,Dragon Quest Heroes,"PC,PS3,PS4",7
1048,2015-10-06,Transformers: Devastation,"PC,PS3,PS4,Xbox 360,Xbox One",8.5
1049,2015-10-06,Skyhill,PC,7
1050,2015-10-06,NHL 16,"PS3,PS4,Xbox 360,Xbox One",7.5
1051,2015-10-06,Armikrog,"Mac OS,PC,PS4,Wii-U",7
1052,2015-10-05,Rock Band 4,"PC,PS4,Xbox One",7
1053,2015-10-02,Read Only Memories,"Mac OS,PC,PS4,PSVita",8
1054,2015-10-01,LEGO Dimensions,"PC,PS3,PS4,Wii-U,Xbox 360,Xbox One",7.5
1055,2015-10-01,The Beginner's Guide,"Mac OS,PC",9
1056,2015-09-29,Tony Hawk's Pro Skater 5,"PS3,PS4,Xbox 360,Xbox One",5
1057,2015-09-29,PewDiePie: Legend of the Brofist,"Android,iPad,iPhone,PC",8.5
1058,2015-09-29,Laserlife,"PC,PS4,Xbox One",6.5
1059,2015-09-29,Persona 4: Dancing All Night,PSVita,8
1060,2015-09-29,Afro Samurai 2: Revenge of Kuma Volume 1,"PC,PS4",1
1061,2015-09-28,Skylanders: SuperChargers,"PS3,PS4,Wii,Wii-U,Xbox 360,Xbox One",8.5
1062,2015-09-28,A Fistful of Gun,PC,6
1063,2015-09-27,Hold your fire: A game about responsibility,Wii-U,2
1064,2015-09-25,Destiny,"PC,PS3,PS4,Xbox 360,Xbox One",6.5
1065,2015-09-25,Destiny: The Taken King,"PS3,PS4,Xbox 360,Xbox One",7
1066,2015-09-22,Disgaea 5: Alliance of Vengeance,PS4,8
1067,2015-09-22,Aerannis,PC,7.5
1068,2015-09-22,Animal Crossing: Happy Home Designer,3DS,7
1069,2015-09-22,Extreme Exorcism,"PC,PS3,PS4,Wii-U,Xbox One",6.5
1070,2015-09-21,Act of Aggression,PC,7.5
1071,2015-09-21,SOMA,"PC,PS4,Xbox One",9
1072,2015-09-17,Shovel Knight: Plague of Shadows,"3DS,PC,PS4,PSVita,Wii-U,Xbox One",9.5
1073,2015-09-16,Leo's Fortune,"Android,iPhone,Mac OS,PC,PS4,Xbox One",6
1074,2015-09-16,Zombie Vikings,"PC,PS4,Wii-U",2.5
1075,2015-09-15,Dropsy,"Android,iPad,Mac OS,PC",9.5
1076,2015-09-11,Castle Crashers Remastered,"PC,Xbox One",7.5
1077,2015-09-09,Circa Infinity,"Mac OS,PC",9
1078,2015-09-08,Ascendant,"PC,PS4",4.5
1079,2015-09-08,I am Bread,"Mac OS,PC,PS4",3
1080,2015-09-08,Lovers in a Dangerous Spacetime,"Mac OS,PC,PS4,Switch,Xbox One",10
1081,2015-09-08,Forza Motorsport 6,Xbox One,9.5
1082,2015-09-04,Evoland 2: A Slight Case of Spacetime Continuum Disorder,"Mac OS,PC",7
1083,2015-09-04,Hatsune Miku: Project Mirai DX,3DS,6.5
1084,2015-09-03,Nobunaga's Ambition: Sphere of Influence,"PC,PS3,PS4",7.5
1085,2015-09-02,The Flock,"Mac OS,PC",4
1086,2015-09-02,Mad Max,"PC,PS3,PS4,Xbox 360,Xbox One",7
1087,2015-09-01,Stasis,"Mac OS,PC",8.5
1088,2015-08-31,Metal Gear Solid V: The Phantom Pain,"PC,Placeholder,PS3,PS4,Xbox 360,Xbox One",9
1089,2015-08-31,Feist,"Mac OS,PC",4.5
1090,2015-08-31,Satellite Reign,"Mac OS,PC",8
1091,2015-08-28,One Piece: Pirate Warriors 3,"PC,PS3,PS4,PSVita",7.5
1092,2015-08-28,Disney Infinity 3.0,"PC,PS3,PS4,Wii-U,Xbox 360,Xbox One",8.5
1093,2015-08-27,Corpse of Discovery,PC,4
1094,2015-08-27,Lara Croft GO,"Android,iPad,iPhone,PS4,PSVita",9
1095,2015-08-26,Flywrench,"Mac OS,PC,PS4",9
1096,2015-08-26,Runbow,"3DS,Wii-U",9
1097,2015-08-25,Party Hard,"PC,PS4,Xbox One",6
1098,2015-08-25,Mega Man Legacy Collection,"3DS,PC,PS4,Switch,Xbox One",8.5
1099,2015-08-25,Capsule Force,"PC,PS4",8.5
1100,2015-08-25,Madden 16,"PS3,PS4,Xbox 360,Xbox One",6.5
1101,2015-08-25,Nova-111,"Mac OS,PC,PS3,PS4,PSVita,Wii-U,Xbox One",7
1102,2015-08-24,The Consuming Shadow,PC,4
1103,2015-08-24,Snakebird,"Mac OS,PC",8.5
1104,2015-08-24,Gears of War Ultimate Edition,"PC,Xbox One",9
1105,2015-08-24,Until Dawn,"PS3,PS4",7
1106,2015-08-22,Alphabear,"Android,iPad,iPhone,Mac OS,PC",9
1107,2015-08-22,Everybody's Gone to the Rapture,"PC,PS4",5
1108,2015-08-21,Fingered,PC,8
1109,2015-08-21,Risen 3: Titan Lords Enhanced Edition,PS4,1
1110,2015-08-20,Gryphon Knight Epic,"Mac OS,PC",3
1111,2015-08-20,RymdResa,PC,5.5
1112,2015-08-19,Curses 'N Chaos,"Mac OS,PC,PS4,PSVita",8.5
1113,2015-08-19,SMITE,"PC,PS4,Xbox One",7
1114,2015-08-18,Tales from the Borderlands: Escape Plan Bravo,"Mac OS,PC,PS3,PS4,Xbox 360,Xbox One",10
1115,2015-08-18,Volume,"Mac OS,PC,PS4,PSVita",6
1116,2015-08-17,Beyond Eyes,"Mac OS,PC,Xbox One",4
1117,2015-08-15,Goat Simulator,"Android,iPad,iPhone,Mac OS,PC,PS4,Xbox 360,Xbox One",3
1118,2015-08-14,Commander Cherry's Puzzled Journey,"PS4,Xbox One",1
1119,2015-08-11,Toy Soldiers: War Chest,"PC,PS4,Xbox One",7.5
1120,2015-08-08,Spider: Rite of the Shrouded Moon,"Android,PC,PS4,PSVita",8.5
1121,2015-08-06,Astral Breakers,Wii-U,7
1122,2015-08-05,GALAK-Z,"PC,PS4,PSVita",7
1123,2015-08-04,Call of Duty: Advanced Warfare,"PC,PS3,PS4,Xbox 360,Xbox One",8
1124,2015-08-04,Call of Duty: Advanced Warfare: Reckoning,Xbox One,8.5
1125,2015-08-03,Submerged,"PC,PS4,Xbox One",3
1126,2015-08-03,World of Tanks,"PC,Xbox 360,Xbox One",6
1127,2015-08-03,Rare Replay,Xbox One,9
1128,2015-07-31,Etrian Odyssey 2 Untold: The Fafnir Knight,3DS,8
1129,2015-07-31,Magic Duels: Origins,"iPhone,PC",7
1130,2015-07-31,The Swindle,"PC,PS3,PS4,PSVita,Wii-U,Xbox One",7.5
1131,2015-07-31,Angry Birds 2,"Android,iPad,iPhone",5
1132,2015-07-29,Blues And Bullets,"PC,Xbox One",6
1133,2015-07-28,Life is Strange: Dark Room,"PC,PS3,PS4,Xbox 360,Xbox One",9
1134,2015-07-28,Kings Quest: A Knight To Remember,"PC,PS3,PS4,Xbox 360,Xbox One",9.5
1135,2015-07-28,King's Quest: A Knight To Remember,Xbox One,9.5
1136,2015-07-28,N++,"PC,PS4,Xbox One",8.5
1137,2015-07-27,Niko: Through The Dream,PC,9
1138,2015-07-27,Adventure Time Puzzle Quest,"Android,iPhone",4
1139,2015-07-27,Lost Dimension,"PS3,PSVita",8
1140,2015-07-24,Five Nights at Freddy's 4,PC,4
1141,2015-07-24,Divide by Sheep,"Android,iPhone,Mac OS,PC",8
1142,2015-07-23,F1 2015,"PC,PS4,Xbox One",4.5
1143,2015-07-22,Onechanbara Z2: Chaos,"PC,PS3,PS4",5.5
1144,2015-07-21,Trials Fusion: Awesome Level Max,"PC,PS4,Xbox One",7.5
1145,2015-07-21,Game of Thrones: A Telltale Game Series: A Nest of Vipers,"Mac OS,PC,PS3,PS4,Xbox 360,Xbox One",7
1146,2015-07-20,The Magic Circle,PC,8.5
1147,2015-07-20,Tembo the Badass Elephant,"PC,PS4,Xbox One",8
1148,2015-07-17,SlashDash,Xbox One,7
1149,2015-07-16,Odallus: The Dark Call,PC,9
1150,2015-07-16,Worms World Party Remastered,PC,6
1151,2015-07-14,Godzilla,"PS3,PS4",4
1152,2015-07-14,Rocket League,"Mac OS,PC,PS4,Switch,Xbox One",9
1153,2015-07-14,The Fall: Part One,"Mac OS,PC,PS4,Wii-U,Xbox One",8.5
1154,2015-07-14,Batman: Arkham Knight,"PC,PS4,Xbox One",7
1155,2015-07-14,Batman: Arkham Knight - Batgirl: A Matter of Family,"PC,PS4,Xbox One",6.5
1156,2015-07-14,Deception IV: The Nightmare Princess,"PS3,PS4,PSVita",8
1157,2015-07-12,Quiplash,"iPhone,PC,PS3,PS4,Xbox One",8
1158,2015-07-12,Nekoburo: Cats Block,PSVita,4
1159,2015-07-11,Skullgirls 2nd Encore,"PC,PS4,PSVita",9
1160,2015-07-10,Duck Game,"PC,PS4,Switch",8.5
1161,2015-07-10,Spy Chameleon,"PC,PSVita,Wii-U,Xbox One",4.5
1162,2015-07-09,Traverser,PC,6.5
1163,2015-07-09,Spectra,"Android,iPad,iPhone,PC,Xbox One",5
1164,2015-07-08,Sunset,"Mac OS,PC",5.5
1165,2015-07-07,0rbitalis,"Mac OS,PC",7
1166,2015-07-07,Yatagarasu Attack on Cataclysm,PC,7.5
1167,2015-07-03,Roving Rogue,Wii-U,6
1168,2015-06-30,RONIN,PC,4.5
1169,2015-06-30,Samurai Warriors Chronicles 3,"3DS,PSVita",6
1170,2015-06-29,You Must Build a Boat,"Android,iPad,iPhone,Mac OS,PC",7
1171,2015-06-29,Super Star Path,PC,9
1172,2015-06-29,Subject 13,"Android,iPhone,PC,Placeholder",7
1173,2015-06-29,Her Story,"iPad,PC",10
1174,2015-06-28,J-Stars Victory VS+,"PS3,PS4,PSVita",5
1175,2015-06-26,LEGO Jurassic World,"3DS,PC,PS3,PS4,PSVita,Wii-U,Xbox 360,Xbox One",7
1176,2015-06-25,Sonic Runners,"Android,iPad,iPhone",6
1177,2015-06-25,Cosmochoria,"PC,Wii-U",7
1178,2015-06-23,Tales from the Borderlands: Catch a Ride,"Mac OS,PC,PS3,PS4,Xbox 360,Xbox One",8
1179,2015-06-23,Devil May Cry 4 Special Edition,"PC,PS4,Xbox One",9.5
1180,2015-06-18,The Masterplan,"Mac OS,PC",6
1181,2015-06-18,Dr. Mario: Miracle Cure,3DS,7
