,developer,genres,name,platforms,publisher,release_date,review_date,score,user_score
1169,Monumental Games,"Simulation, Driving/Racing",MotoGP 09/10,"PlayStation 3,Xbox 360",Capcom,"Mar 23, 2010","Mar 30, 2010",7.0,6.6
1170,Sidhe Interactive,"Sports, Team-Based",Rugby League 3,Wii,HES Interactive,"Apr 16, 2010","Mar 30, 2010",6.5,7.5
1171,Intelligent Systems,Miscellaneous,WarioWare D.I.Y.,DS,Nintendo,"Mar 28, 2010","Mar 29, 2010",8.0,8.3
1172,"Powerhead Games, Visual Concepts","Simulation, Sports, Team-Based, Baseball",Major League Baseball 2K10,"DS,PC,PlayStation 2,PlayStation 3,PSP,Wii,Xbox 360","2K Sports, Take-Two Interactive","Mar 1, 2010","Mar 26, 2010",5.5,7.3
1173,Hit Maker,Role-Playing,Last Rebellion,PlayStation 3,"NIS America, Nippon Ichi Software","Feb 23, 2010","Mar 26, 2010",3.5,4.9
1174,Avalanche Studios,"Action, Adventure",Just Cause 2,"PC,PlayStation 3,Xbox 360",Square Enix,"Mar 23, 2010","Mar 26, 2010",8.0,8.3
1175,Halfbrick Studios,"Action, Adventure, Survival, 3D",Age of Zombies,"Android,iOS (iPhone/iPad),Ouya,PlayStation Vita,PSP","Halfbrick Studios, BlitWorks","Feb 25, 2010","Mar 25, 2010",7.0,7.2
1176,Avalanche Studios,"Adventure, Action",Just Cause 2,"PC,PlayStation 3,Xbox 360",Square Enix,"Mar 23, 2010","Mar 25, 2010",8.5,8.3
1177,Relentless Software,"Hidden Object, Puzzle",Blue Toad Murder Files: The Mysteries of Little Riddle,"PC,PlayStation 3",Relentless Software,"Mar 25, 2010","Mar 24, 2010",7.0,6.6
1178,Gas Powered Games,"Real-Time, Strategy",Supreme Commander 2,"Macintosh,PC,Xbox 360","Virtual Programming, Square Enix, Mastertronic","Mar 1, 2010","Mar 24, 2010",7.5,6.8
1179,Ubisoft Romania,Simulation,Silent Hunter 5: Battle of the Atlantic,PC,"Focus Multimedia, Ubisoft, E-Frontier","Mar 2, 2010","Mar 24, 2010",5.0,4.3
1180,Ubisoft Paris,"Shooter, 3D, Action, First-Person",Red Steel 2,Wii,Ubisoft,"Mar 23, 2010","Mar 23, 2010",7.5,8.1
1181,Avalanche Studios,"Action, Adventure",Just Cause 2,"PC,PlayStation 3,Xbox 360",Square Enix,"Mar 23, 2010","Mar 23, 2010",8.0,8.3
1182,4A Games,"Action, First-Person, Shooter, 3D",Metro 2033,"Linux,PC,PlayStation 4,Xbox 360,Xbox One","Deep Silver, THQ, E-Frontier, Spike","Mar 16, 2010","Mar 18, 2010",8.0,8.1
